family,query_index,map_hash,obstacle_count,seed,f2f_expanded,f2e_expanded,expansion_diff,pooled_n,pooled_median_diff,pooled_mean_diff,pooled_n_f2f_stronger,pooled_n_equal,pooled_n_f2e_stronger,pooled_frac_f2f_stronger,pooled_frac_equal,pooled_frac_f2e_stronger,f2f_source_n,f2f_source_median_diff,f2f_source_mean_diff,f2f_source_n_f2f_stronger,f2f_source_n_equal,f2f_source_n_f2e_stronger,f2f_source_frac_f2f_stronger,f2f_source_frac_equal,f2f_source_frac_f2e_stronger,f2e_source_n,f2e_source_median_diff,f2e_source_mean_diff,f2e_source_n_f2f_stronger,f2e_source_n_equal,f2e_source_n_f2e_stronger,f2e_source_frac_f2f_stronger,f2e_source_frac_equal,f2e_source_frac_f2e_stronger
open_128,0,a5c62e706c2aa56b,0,100,152,152,0,914,0.0,0.0,0,914,0,0.0,1.0,0.0,457,0.0,0.0,0,457,0,0.0,1.0,0.0,457,0.0,0.0,0,457,0,0.0,1.0,0.0
open_128,1,2b1f432ec5bd1529,0,100,71,71,0,428,0.0,0.0,0,428,0,0.0,1.0,0.0,214,0.0,0.0,0,214,0,0.0,1.0,0.0,214,0.0,0.0,0,214,0,0.0,1.0,0.0
open_128,2,4c6c059d50f51687,0,100,132,132,0,794,0.0,0.0,0,794,0,0.0,1.0,0.0,397,0.0,0.0,0,397,0,0.0,1.0,0.0,397,0.0,0.0,0,397,0,0.0,1.0,0.0
open_128,3,c25121785b9ebe0c,0,100,79,79,0,476,0.0,0.0,0,476,0,0.0,1.0,0.0,238,0.0,0.0,0,238,0,0.0,1.0,0.0,238,0.0,0.0,0,238,0,0.0,1.0,0.0
open_128,4,ef7cd971b92565b8,0,100,98,98,0,590,0.0,0.0,0,590,0,0.0,1.0,0.0,295,0.0,0.0,0,295,0,0.0,1.0,0.0,295,0.0,0.0,0,295,0,0.0,1.0,0.0
open_128,5,361e482c72d19a81,0,100,70,70,0,422,0.0,0.0,0,422,0,0.0,1.0,0.0,211,0.0,0.0,0,211,0,0.0,1.0,0.0,211,0.0,0.0,0,211,0,0.0,1.0,0.0
open_128,6,dfc232ef499c55bf,0,100,96,96,0,578,0.0,0.0,0,578,0,0.0,1.0,0.0,289,0.0,0.0,0,289,0,0.0,1.0,0.0,289,0.0,0.0,0,289,0,0.0,1.0,0.0
open_128,7,7a98b383a8f2b758,0,100,168,168,0,1008,0.0,0.0,0,1008,0,0.0,1.0,0.0,504,0.0,0.0,0,504,0,0.0,1.0,0.0,504,0.0,0.0,0,504,0,0.0,1.0,0.0
open_128,8,07d03a2b8343e508,0,100,118,118,0,710,0.0,0.0,0,710,0,0.0,1.0,0.0,355,0.0,0.0,0,355,0,0.0,1.0,0.0,355,0.0,0.0,0,355,0,0.0,1.0,0.0
open_128,9,260fe7d6d2bca4df,0,100,98,98,0,590,0.0,0.0,0,590,0,0.0,1.0,0.0,295,0.0,0.0,0,295,0,0.0,1.0,0.0,295,0.0,0.0,0,295,0,0.0,1.0,0.0
open_128,10,78d62db202f1adb2,0,100,111,111,0,668,0.0,0.0,0,668,0,0.0,1.0,0.0,334,0.0,0.0,0,334,0,0.0,1.0,0.0,334,0.0,0.0,0,334,0,0.0,1.0,0.0
open_128,11,dd51c57302ed99c5,0,100,74,74,0,446,0.0,0.0,0,446,0,0.0,1.0,0.0,223,0.0,0.0,0,223,0,0.0,1.0,0.0,223,0.0,0.0,0,223,0,0.0,1.0,0.0
open_128,12,8545fdada1b80f27,0,100,75,75,0,452,0.0,0.0,0,452,0,0.0,1.0,0.0,226,0.0,0.0,0,226,0,0.0,1.0,0.0,226,0.0,0.0,0,226,0,0.0,1.0,0.0
open_128,13,54f4365d5efa20a2,0,100,169,169,0,1014,0.0,0.0,0,1014,0,0.0,1.0,0.0,507,0.0,0.0,0,507,0,0.0,1.0,0.0,507,0.0,0.0,0,507,0,0.0,1.0,0.0
open_128,14,e94c839e361b946f,0,100,95,95,0,570,0.0,0.0,0,570,0,0.0,1.0,0.0,285,0.0,0.0,0,285,0,0.0,1.0,0.0,285,0.0,0.0,0,285,0,0.0,1.0,0.0
open_128,15,2639243f0b5e4320,0,100,80,80,0,484,0.0,0.0,0,484,0,0.0,1.0,0.0,242,0.0,0.0,0,242,0,0.0,1.0,0.0,242,0.0,0.0,0,242,0,0.0,1.0,0.0
open_128,16,cf128c43dd89c2c0,0,100,118,118,0,708,0.0,0.0,0,708,0,0.0,1.0,0.0,354,0.0,0.0,0,354,0,0.0,1.0,0.0,354,0.0,0.0,0,354,0,0.0,1.0,0.0
open_128,17,60a500f68ed9a63a,0,100,90,90,0,542,0.0,0.0,0,542,0,0.0,1.0,0.0,271,0.0,0.0,0,271,0,0.0,1.0,0.0,271,0.0,0.0,0,271,0,0.0,1.0,0.0
open_128,18,02d9301188cb152e,0,100,121,121,0,726,0.0,0.0,0,726,0,0.0,1.0,0.0,363,0.0,0.0,0,363,0,0.0,1.0,0.0,363,0.0,0.0,0,363,0,0.0,1.0,0.0
open_128,19,a128a74b5e621552,0,100,85,85,0,512,0.0,0.0,0,512,0,0.0,1.0,0.0,256,0.0,0.0,0,256,0,0.0,1.0,0.0,256,0.0,0.0,0,256,0,0.0,1.0,0.0
open_128,20,b5788006df0fd789,0,100,70,70,0,422,0.0,0.0,0,422,0,0.0,1.0,0.0,211,0.0,0.0,0,211,0,0.0,1.0,0.0,211,0.0,0.0,0,211,0,0.0,1.0,0.0
open_128,21,964b54b04a936bf4,0,100,99,99,0,596,0.0,0.0,0,596,0,0.0,1.0,0.0,298,0.0,0.0,0,298,0,0.0,1.0,0.0,298,0.0,0.0,0,298,0,0.0,1.0,0.0
open_128,22,90ed1334510cf483,0,100,137,137,0,822,0.0,0.0,0,822,0,0.0,1.0,0.0,411,0.0,0.0,0,411,0,0.0,1.0,0.0,411,0.0,0.0,0,411,0,0.0,1.0,0.0
open_128,23,7866c466d00004a7,0,100,140,140,0,840,0.0,0.0,0,840,0,0.0,1.0,0.0,420,0.0,0.0,0,420,0,0.0,1.0,0.0,420,0.0,0.0,0,420,0,0.0,1.0,0.0
open_128,24,5acdfd9cbae9343f,0,100,105,105,0,630,0.0,0.0,0,630,0,0.0,1.0,0.0,315,0.0,0.0,0,315,0,0.0,1.0,0.0,315,0.0,0.0,0,315,0,0.0,1.0,0.0
open_128,25,1b927e3cfb13e590,0,100,97,97,0,584,0.0,0.0,0,584,0,0.0,1.0,0.0,292,0.0,0.0,0,292,0,0.0,1.0,0.0,292,0.0,0.0,0,292,0,0.0,1.0,0.0
open_128,26,639c43b9e693f17f,0,100,111,111,0,666,0.0,0.0,0,666,0,0.0,1.0,0.0,333,0.0,0.0,0,333,0,0.0,1.0,0.0,333,0.0,0.0,0,333,0,0.0,1.0,0.0
open_128,27,6c45c32557824162,0,100,73,73,0,364,0.0,0.0,0,364,0,0.0,1.0,0.0,182,0.0,0.0,0,182,0,0.0,1.0,0.0,182,0.0,0.0,0,182,0,0.0,1.0,0.0
open_128,28,ab57c3504a76137b,0,100,107,107,0,644,0.0,0.0,0,644,0,0.0,1.0,0.0,322,0.0,0.0,0,322,0,0.0,1.0,0.0,322,0.0,0.0,0,322,0,0.0,1.0,0.0
open_128,29,5186a4a67cb07046,0,100,71,71,0,428,0.0,0.0,0,428,0,0.0,1.0,0.0,214,0.0,0.0,0,214,0,0.0,1.0,0.0,214,0.0,0.0,0,214,0,0.0,1.0,0.0
maze_127,0,73b1310faa7be825,7936,140,6700,7245,545,13970,37.0,48.22670007158196,8146,5824,0,0.5831066571224052,0.41689334287759483,0.0,6710,34.0,46.925633383010435,3798,2912,0,0.5660208643815201,0.4339791356184799,0.0,7260,40.0,49.42920110192838,4348,2912,0,0.5988980716253444,0.40110192837465564,0.0
maze_127,1,d2cbfeed0384ee05,7938,140,15960,16631,671,32607,89.0,85.26942067654184,32315,292,0,0.991044867666452,0.008955132333548011,0.0,15967,88.0,84.36800901860086,15821,146,0,0.9908561407903802,0.009143859209619841,0.0,16640,90.0,86.134375,16494,146,0,0.9912259615384615,0.008774038461538462,0.0
maze_127,2,3563dfc7dd20b324,7938,140,4054,4054,0,8118,0.0,0.0,0,8118,0,0.0,1.0,0.0,4059,0.0,0.0,0,4059,0,0.0,1.0,0.0,4059,0.0,0.0,0,4059,0,0.0,1.0,0.0
maze_127,3,d771ec47e214c8f2,7935,140,1479,1479,0,2968,0.0,0.0,0,2968,0,0.0,1.0,0.0,1484,0.0,0.0,0,1484,0,0.0,1.0,0.0,1484,0.0,0.0,0,1484,0,0.0,1.0,0.0
