experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_corridor_512,astar,150,0,corridor,1,512,0.0,0,bfea4644ab36215d,0,408,0,232,True,goal_found,176.0,0.0011401000010664575,177,176,state,,,,,,178,4.149998858338222e-05,2,176,0,0,False
study_corridor_512,sfbds_f2f,150,0,corridor,1,512,0.0,0,bfea4644ab36215d,0,408,0,232,True,goal_found,176.0,0.002674800001841504,177,176,pair,176,0,176.0,0.0,0,178,4.02999939979054e-05,2,176,0,0,False
study_corridor_512,sfbds_f2e,150,0,corridor,1,512,0.0,0,bfea4644ab36215d,0,408,0,232,True,goal_found,176.0,0.002806199998303782,177,176,pair,176,0,176.0,0.0,0,178,0.00011730001278920099,2,176,0,0,False
study_corridor_512,astar,150,1,corridor,1,512,0.0,0,1339db7f9d1ddeca,0,489,0,166,True,goal_found,323.0,0.0020108000026084483,324,323,state,,,,,,325,6.990005203988403e-05,2,323,0,0,False
study_corridor_512,sfbds_f2f,150,1,corridor,1,512,0.0,0,1339db7f9d1ddeca,0,489,0,166,True,goal_found,323.0,0.004408800006785896,324,323,pair,323,0,323.0,0.0,0,325,7.459997141268104e-05,2,323,0,0,False
study_corridor_512,sfbds_f2e,150,1,corridor,1,512,0.0,0,1339db7f9d1ddeca,0,489,0,166,True,goal_found,323.0,0.004325100002461113,324,323,pair,323,0,323.0,0.0,0,325,0.0002112001384375617,2,323,0,0,False
study_corridor_512,astar,150,2,corridor,1,512,0.0,0,ec2449d75b15a2b9,0,93,0,340,True,goal_found,247.0,0.0016313000014633872,248,247,state,,,,,,249,5.670002428814769e-05,2,247,0,0,False
study_corridor_512,sfbds_f2f,150,2,corridor,1,512,0.0,0,ec2449d75b15a2b9,0,93,0,340,True,goal_found,247.0,0.003236199998355005,248,247,pair,247,0,247.0,0.0,0,249,5.780000356025994e-05,2,247,0,0,False
study_corridor_512,sfbds_f2e,150,2,corridor,1,512,0.0,0,ec2449d75b15a2b9,0,93,0,340,True,goal_found,247.0,0.003200500003003981,248,247,pair,247,0,247.0,0.0,0,249,0.00015849996998440474,2,247,0,0,False
study_corridor_512,astar,150,3,corridor,1,512,0.0,0,a9f6537a584fa14d,0,453,0,52,True,goal_found,401.0,0.002494799999112729,402,401,state,,,,,,403,8.489997708238661e-05,2,401,0,0,False
study_corridor_512,sfbds_f2f,150,3,corridor,1,512,0.0,0,a9f6537a584fa14d,0,453,0,52,True,goal_found,401.0,0.005182400003832299,402,401,pair,401,0,401.0,0.0,0,403,9.209996642312035e-05,2,401,0,0,False
