experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_open_64,astar,100,0,open,64,64,0.0,0,9986b5a53be85fe3,18,58,58,22,True,goal_found,76.0,0.00126270000328077,229,76,state,,,,,,229,7.179994281614199e-05,153,76,0,1,False
study_open_64,sfbds_f2f,100,0,open,64,64,0.0,0,9986b5a53be85fe3,18,58,58,22,True,goal_found,76.0,0.0023082999978214502,229,76,pair,76,0,76.0,0.0,0,229,7.18000010238029e-05,153,76,0,1,False
study_open_64,sfbds_f2e,100,0,open,64,64,0.0,0,9986b5a53be85fe3,18,58,58,22,True,goal_found,76.0,0.002877999999327585,229,76,pair,76,0,76.0,0.0,0,229,0.00018440003623254597,153,76,0,1,False
study_open_64,astar,100,1,open,64,64,0.0,0,b1bf08c579cb17a7,50,44,55,14,True,goal_found,35.0,0.0005920999974478036,106,35,state,,,,,,106,2.9299997549969703e-05,71,35,0,1,False
study_open_64,sfbds_f2f,100,1,open,64,64,0.0,0,b1bf08c579cb17a7,50,44,55,14,True,goal_found,35.0,0.0011057000010623597,106,35,pair,35,0,35.0,0.0,0,106,3.109994577243924e-05,71,35,0,1,False
study_open_64,sfbds_f2e,100,1,open,64,64,0.0,0,b1bf08c579cb17a7,50,44,55,14,True,goal_found,35.0,0.001171699994301889,106,35,pair,35,0,35.0,0.0,0,106,9.28000154090114e-05,71,35,0,1,False
study_open_64,astar,100,2,open,64,64,0.0,0,360d028da0fed031,15,10,58,33,True,goal_found,66.0,0.0010814999986905605,199,66,state,,,,,,199,5.6799923186190426e-05,133,66,0,1,False
study_open_64,sfbds_f2f,100,2,open,64,64,0.0,0,360d028da0fed031,15,10,58,33,True,goal_found,66.0,0.00203719999990426,199,66,pair,66,0,66.0,0.0,0,199,6.639999628532678e-05,133,66,0,1,False
study_open_64,sfbds_f2e,100,2,open,64,64,0.0,0,360d028da0fed031,15,10,58,33,True,goal_found,66.0,0.00209760000143433,199,66,pair,66,0,66.0,0.0,0,199,0.00015450007049366832,133,66,0,1,False
study_open_64,astar,100,3,open,64,64,0.0,0,ee9eced1061a8e24,6,26,42,29,True,goal_found,39.0,0.0006553999992320314,118,39,state,,,,,,118,3.590000414988026e-05,79,39,0,1,False
study_open_64,sfbds_f2f,100,3,open,64,64,0.0,0,ee9eced1061a8e24,6,26,42,29,True,goal_found,39.0,0.0012887999982922338,118,39,pair,39,0,39.0,0.0,0,118,3.5699980799108744e-05,79,39,0,1,False
study_open_64,sfbds_f2e,100,3,open,64,64,0.0,0,ee9eced1061a8e24,6,26,42,29,True,goal_found,39.0,0.0012337000007391907,118,39,pair,39,0,39.0,0.0,0,118,9.230001160176471e-05,79,39,0,1,False
study_open_64,astar,100,4,open,64,64,0.0,0,5358f0f55d666ca4,26,51,59,35,True,goal_found,49.0,0.000821099994936958,148,49,state,,,,,,148,4.279997665435076e-05,99,49,0,1,False
study_open_64,sfbds_f2f,100,4,open,64,64,0.0,0,5358f0f55d666ca4,26,51,59,35,True,goal_found,49.0,0.0014529000036418438,148,49,pair,49,0,49.0,0.0,0,148,3.879996802425012e-05,99,49,0,1,False
study_open_64,sfbds_f2e,100,4,open,64,64,0.0,0,5358f0f55d666ca4,26,51,59,35,True,goal_found,49.0,0.0015406999955303036,148,49,pair,49,0,49.0,0.0,0,148,0.00011110000195913017,99,49,0,1,False
study_open_64,astar,100,5,open,64,64,0.0,0,181ffccc4bae41a9,48,20,15,23,True,goal_found,36.0,0.00062929999694461,109,36,state,,,,,,109,2.9699956940021366e-05,73,36,0,1,False
study_open_64,sfbds_f2f,100,5,open,64,64,0.0,0,181ffccc4bae41a9,48,20,15,23,True,goal_found,36.0,0.001134099999035243,109,36,pair,36,0,36.0,0.0,0,109,3.3399999665562063e-05,73,36,0,1,False
study_open_64,sfbds_f2e,100,5,open,64,64,0.0,0,181ffccc4bae41a9,48,20,15,23,True,goal_found,36.0,0.0011530999981914647,109,36,pair,36,0,36.0,0.0,0,109,8.959995466284454e-05,73,36,0,1,False
study_open_64,astar,100,6,open,64,64,0.0,0,476cd14caf683822,0,50,18,20,True,goal_found,48.0,0.0007761999950162135,114,48,state,,,,,,114,3.560005279723555e-05,66,48,0,1,False
study_open_64,sfbds_f2f,100,6,open,64,64,0.0,0,476cd14caf683822,0,50,18,20,True,goal_found,48.0,0.0014319999972940423,114,48,pair,48,0,48.0,0.0,0,114,3.64000370609574e-05,66,48,0,1,False
study_open_64,sfbds_f2e,100,6,open,64,64,0.0,0,476cd14caf683822,0,50,18,20,True,goal_found,48.0,0.010669399998732843,114,48,pair,48,0,48.0,0.0,0,114,0.0006431000001612119,66,48,0,1,False
study_open_64,astar,100,7,open,64,64,0.0,0,7c5dce328d23084f,57,49,16,6,True,goal_found,84.0,0.0013331000009202398,253,84,state,,,,,,253,6.800006667617708e-05,169,84,0,1,False
study_open_64,sfbds_f2f,100,7,open,64,64,0.0,0,7c5dce328d23084f,57,49,16,6,True,goal_found,84.0,0.0024682000002940185,253,84,pair,84,0,84.0,0.0,0,253,6.409993511624634e-05,169,84,0,1,False
study_open_64,sfbds_f2e,100,7,open,64,64,0.0,0,7c5dce328d23084f,57,49,16,6,True,goal_found,84.0,0.0025549999991199,253,84,pair,84,0,84.0,0.0,0,253,0.0001887999678729102,169,84,0,1,False
study_open_64,astar,100,8,open,64,64,0.0,0,9a3e638a9bc12f90,46,61,51,7,True,goal_found,59.0,0.0009499000007053837,178,59,state,,,,,,178,5.059999966761097e-05,119,59,0,1,False
study_open_64,sfbds_f2f,100,8,open,64,64,0.0,0,9a3e638a9bc12f90,46,61,51,7,True,goal_found,59.0,0.001741200001561083,178,59,pair,59,0,59.0,0.0,0,178,4.6300025132950395e-05,119,59,0,1,False
study_open_64,sfbds_f2e,100,8,open,64,64,0.0,0,9a3e638a9bc12f90,46,61,51,7,True,goal_found,59.0,0.0018501000013202429,178,59,pair,59,0,59.0,0.0,0,178,0.00013629996101371944,119,59,0,1,False
study_open_64,astar,100,9,open,64,64,0.0,0,858001f2981e4c0e,12,38,55,32,True,goal_found,49.0,0.0007966999983182177,148,49,state,,,,,,148,4.2899962863884866e-05,99,49,0,1,False
study_open_64,sfbds_f2f,100,9,open,64,64,0.0,0,858001f2981e4c0e,12,38,55,32,True,goal_found,49.0,0.0015413000000989996,148,49,pair,49,0,49.0,0.0,0,148,4.929994611302391e-05,99,49,0,1,False
study_open_64,sfbds_f2e,100,9,open,64,64,0.0,0,858001f2981e4c0e,12,38,55,32,True,goal_found,49.0,0.0015114000052562915,148,49,pair,49,0,49.0,0.0,0,148,0.00011379996431060135,99,49,0,1,False
study_open_64,astar,100,10,open,64,64,0.0,0,513321671fa40637,30,55,63,32,True,goal_found,56.0,0.0009043000027304515,169,56,state,,,,,,169,4.6400084102060646e-05,113,56,0,1,False
study_open_64,sfbds_f2f,100,10,open,64,64,0.0,0,513321671fa40637,30,55,63,32,True,goal_found,56.0,0.001633400002901908,168,56,pair,0,56,0.0,56.0,0,168,4.389997775433585e-05,112,56,0,1,False
study_open_64,sfbds_f2e,100,10,open,64,64,0.0,0,513321671fa40637,30,55,63,32,True,goal_found,56.0,0.0018187000023317523,168,56,pair,0,56,0.0,56.0,0,168,0.000132999979541637,112,56,0,1,False
study_open_64,astar,100,11,open,64,64,0.0,0,0a6c2aa28e13aa8a,18,7,41,21,True,goal_found,37.0,0.0006199999988893978,112,37,state,,,,,,112,3.470003139227629e-05,75,37,0,1,False
study_open_64,sfbds_f2f,100,11,open,64,64,0.0,0,0a6c2aa28e13aa8a,18,7,41,21,True,goal_found,37.0,0.0011076000009779818,112,37,pair,37,0,37.0,0.0,0,112,3.109993849648163e-05,75,37,0,1,False
study_open_64,sfbds_f2e,100,11,open,64,64,0.0,0,0a6c2aa28e13aa8a,18,7,41,21,True,goal_found,37.0,0.0011355999959050678,112,37,pair,37,0,37.0,0.0,0,112,8.699998579686508e-05,75,37,0,1,False
study_open_64,astar,100,12,open,64,64,0.0,0,5cec15813b67309f,6,35,15,6,True,goal_found,38.0,0.000617599995166529,115,38,state,,,,,,115,3.470005322014913e-05,77,38,0,1,False
study_open_64,sfbds_f2f,100,12,open,64,64,0.0,0,5cec15813b67309f,6,35,15,6,True,goal_found,38.0,0.0011104000004706904,115,38,pair,38,0,38.0,0.0,0,115,3.0099967261776328e-05,77,38,0,1,False
study_open_64,sfbds_f2e,100,12,open,64,64,0.0,0,5cec15813b67309f,6,35,15,6,True,goal_found,38.0,0.0014346999960253015,115,38,pair,38,0,38.0,0.0,0,115,9.54000061028637e-05,77,38,0,1,False
study_open_64,astar,100,13,open,64,64,0.0,0,203070a6c7c3aef5,42,58,1,14,True,goal_found,85.0,0.001430399999662768,256,85,state,,,,,,255,6.510004459414631e-05,170,85,0,2,False
study_open_64,sfbds_f2f,100,13,open,64,64,0.0,0,203070a6c7c3aef5,42,58,1,14,True,goal_found,85.0,0.0025957000034395605,256,85,pair,85,0,85.0,0.0,0,255,7.559989171568304e-05,170,85,0,2,False
study_open_64,sfbds_f2e,100,13,open,64,64,0.0,0,203070a6c7c3aef5,42,58,1,14,True,goal_found,85.0,0.002709200001845602,256,85,pair,85,0,85.0,0.0,0,255,0.0001875000452855602,170,85,0,2,False
study_open_64,astar,100,14,open,64,64,0.0,0,b528a490f9b3b7cc,60,24,15,26,True,goal_found,47.0,0.0007584999984828755,142,47,state,,,,,,142,3.7200021324679255e-05,95,47,0,1,False
study_open_64,sfbds_f2f,100,14,open,64,64,0.0,0,b528a490f9b3b7cc,60,24,15,26,True,goal_found,47.0,0.0013758999994024634,142,47,pair,47,0,47.0,0.0,0,142,3.990004915976897e-05,95,47,0,1,False
study_open_64,sfbds_f2e,100,14,open,64,64,0.0,0,b528a490f9b3b7cc,60,24,15,26,True,goal_found,47.0,0.0014152000003377907,142,47,pair,47,0,47.0,0.0,0,142,0.00010809999366756529,95,47,0,1,False
study_open_64,astar,100,15,open,64,64,0.0,0,c083894fa5ce2076,20,6,60,6,True,goal_found,40.0,0.0025019999957294203,121,40,state,,,,,,122,0.00012110001262044534,82,40,0,0,False
study_open_64,sfbds_f2f,100,15,open,64,64,0.0,0,c083894fa5ce2076,20,6,60,6,True,goal_found,40.0,0.005744800000684336,121,40,pair,40,0,40.0,0.0,0,122,0.0001506999833509326,82,40,0,0,False
study_open_64,sfbds_f2e,100,15,open,64,64,0.0,0,c083894fa5ce2076,20,6,60,6,True,goal_found,40.0,0.0012384000001475215,121,40,pair,40,0,40.0,0.0,0,122,9.209996642312035e-05,82,40,0,0,False
study_open_64,astar,100,16,open,64,64,0.0,0,05f434a6846cf6fb,4,54,60,57,True,goal_found,59.0,0.0009314000053564087,178,59,state,,,,,,178,4.900000203633681e-05,119,59,0,1,False
study_open_64,sfbds_f2f,100,16,open,64,64,0.0,0,05f434a6846cf6fb,4,54,60,57,True,goal_found,59.0,0.0017921000035130419,178,59,pair,59,0,59.0,0.0,0,178,4.830001125810668e-05,119,59,0,1,False
study_open_64,sfbds_f2e,100,16,open,64,64,0.0,0,05f434a6846cf6fb,4,54,60,57,True,goal_found,59.0,0.011182999995071441,178,59,pair,59,0,59.0,0.0,0,178,0.0008970000053523108,119,59,0,1,False
study_open_64,astar,100,17,open,64,64,0.0,0,0fcef92206bda058,43,58,24,32,True,goal_found,45.0,0.0007554999974672683,136,45,state,,,,,,136,3.870001819450408e-05,91,45,0,1,False
study_open_64,sfbds_f2f,100,17,open,64,64,0.0,0,0fcef92206bda058,43,58,24,32,True,goal_found,45.0,0.0013716999965254217,136,45,pair,45,0,45.0,0.0,0,136,3.8599981053266674e-05,91,45,0,1,False
study_open_64,sfbds_f2e,100,17,open,64,64,0.0,0,0fcef92206bda058,43,58,24,32,True,goal_found,45.0,0.0014565999954356812,136,45,pair,45,0,45.0,0.0,0,136,0.00010610002937028185,91,45,0,1,False
study_open_64,astar,100,18,open,64,64,0.0,0,6abd09eaebfdad3d,53,18,26,52,True,goal_found,61.0,0.0010046999959740788,184,61,state,,,,,,184,5.270008841762319e-05,123,61,0,1,False
study_open_64,sfbds_f2f,100,18,open,64,64,0.0,0,6abd09eaebfdad3d,53,18,26,52,True,goal_found,61.0,0.0020978000029572286,184,61,pair,61,0,61.0,0.0,0,184,7.380000897683203e-05,123,61,0,1,False
study_open_64,sfbds_f2e,100,18,open,64,64,0.0,0,6abd09eaebfdad3d,53,18,26,52,True,goal_found,61.0,0.0019690000044647604,184,61,pair,61,0,61.0,0.0,0,184,0.00014369999553309754,123,61,0,1,False
study_open_64,astar,100,19,open,64,64,0.0,0,8dc8bc9b1c254e6d,9,34,51,33,True,goal_found,43.0,0.0007286999971256591,130,43,state,,,,,,129,3.989997640019283e-05,86,43,0,2,False
study_open_64,sfbds_f2f,100,19,open,64,64,0.0,0,8dc8bc9b1c254e6d,9,34,51,33,True,goal_found,43.0,0.0013600000020232983,130,43,pair,43,0,43.0,0.0,0,129,3.6199962778482586e-05,86,43,0,2,False
study_open_64,sfbds_f2e,100,19,open,64,64,0.0,0,8dc8bc9b1c254e6d,9,34,51,33,True,goal_found,43.0,0.0013842999978805892,130,43,pair,43,0,43.0,0.0,0,129,0.0001016000023810193,86,43,0,2,False
study_open_64,astar,100,20,open,64,64,0.0,0,bb3f67cd9019423d,12,24,29,6,True,goal_found,35.0,0.0005830000009154901,106,35,state,,,,,,106,3.0199989851098508e-05,71,35,0,1,False
study_open_64,sfbds_f2f,100,20,open,64,64,0.0,0,bb3f67cd9019423d,12,24,29,6,True,goal_found,35.0,0.001123499998357147,106,35,pair,35,0,35.0,0.0,0,106,3.220002690795809e-05,71,35,0,1,False
study_open_64,sfbds_f2e,100,20,open,64,64,0.0,0,bb3f67cd9019423d,12,24,29,6,True,goal_found,35.0,0.0011961999989580363,106,35,pair,35,0,35.0,0.0,0,106,8.790000720182434e-05,71,35,0,1,False
study_open_64,astar,100,21,open,64,64,0.0,0,46a94cdc7b05ce70,49,34,0,34,True,goal_found,49.0,0.0008092999996733852,148,49,state,,,,,,149,4.0699967939872295e-05,100,49,0,0,False
study_open_64,sfbds_f2f,100,21,open,64,64,0.0,0,46a94cdc7b05ce70,49,34,0,34,True,goal_found,49.0,0.0015305999986594543,147,49,pair,0,49,0.0,49.0,0,148,4.250001074979082e-05,99,49,0,0,False
study_open_64,sfbds_f2e,100,21,open,64,64,0.0,0,46a94cdc7b05ce70,49,34,0,34,True,goal_found,49.0,0.0015405000012833625,147,49,pair,0,49,0.0,49.0,0,148,0.00011300002370262519,99,49,0,0,False
study_open_64,astar,100,22,open,64,64,0.0,0,12ad60b40e7f0a4b,38,4,3,37,True,goal_found,68.0,0.0011229000010644086,205,68,state,,,,,,204,5.699996108887717e-05,136,68,0,2,False
study_open_64,sfbds_f2f,100,22,open,64,64,0.0,0,12ad60b40e7f0a4b,38,4,3,37,True,goal_found,68.0,0.002009900003031362,205,68,pair,68,0,68.0,0.0,0,204,5.4200041631702334e-05,136,68,0,2,False
study_open_64,sfbds_f2e,100,22,open,64,64,0.0,0,12ad60b40e7f0a4b,38,4,3,37,True,goal_found,68.0,0.0022338999988278374,205,68,pair,68,0,68.0,0.0,0,204,0.00015789997996762395,136,68,0,2,False
study_open_64,astar,100,23,open,64,64,0.0,0,02c26cd876c2a4b6,29,51,1,10,True,goal_found,69.0,0.0014376999970409088,208,69,state,,,,,,207,6.590002158191055e-05,138,69,0,2,False
study_open_64,sfbds_f2f,100,23,open,64,64,0.0,0,02c26cd876c2a4b6,29,51,1,10,True,goal_found,69.0,0.0032553999990341254,208,69,pair,69,0,69.0,0.0,0,207,7.700001151533797e-05,138,69,0,2,False
study_open_64,sfbds_f2e,100,23,open,64,64,0.0,0,02c26cd876c2a4b6,29,51,1,10,True,goal_found,69.0,0.003317100003187079,208,69,pair,69,0,69.0,0.0,0,207,0.00024659998598508537,138,69,0,2,False
study_open_64,astar,100,24,open,64,64,0.0,0,a621329559e477ee,28,38,2,11,True,goal_found,53.0,0.0010285000025760382,160,53,state,,,,,,159,4.669999907491729e-05,106,53,0,2,False
study_open_64,sfbds_f2f,100,24,open,64,64,0.0,0,a621329559e477ee,28,38,2,11,True,goal_found,53.0,0.0023325000001932494,160,53,pair,53,0,53.0,0.0,0,159,6.489996303571388e-05,106,53,0,2,False
study_open_64,sfbds_f2e,100,24,open,64,64,0.0,0,a621329559e477ee,28,38,2,11,True,goal_found,53.0,0.0017338999969069846,160,53,pair,53,0,53.0,0.0,0,159,0.0001247999825864099,106,53,0,2,False
study_open_64,astar,100,25,open,64,64,0.0,0,319101826a6ae5b2,45,41,56,4,True,goal_found,48.0,0.0008177999989129603,145,48,state,,,,,,145,4.3000000005122274e-05,97,48,0,1,False
study_open_64,sfbds_f2f,100,25,open,64,64,0.0,0,319101826a6ae5b2,45,41,56,4,True,goal_found,48.0,0.0015599000034853816,145,48,pair,48,0,48.0,0.0,0,145,4.2499974370002747e-05,97,48,0,1,False
study_open_64,sfbds_f2e,100,25,open,64,64,0.0,0,319101826a6ae5b2,45,41,56,4,True,goal_found,48.0,0.0015193999934126623,145,48,pair,48,0,48.0,0.0,0,145,0.00011120000999653712,97,48,0,1,False
study_open_64,astar,100,26,open,64,64,0.0,0,96ffc2124644de10,23,10,2,45,True,goal_found,56.0,0.0010278999980073422,169,56,state,,,,,,168,5.1000024541281164e-05,112,56,0,2,False
study_open_64,sfbds_f2f,100,26,open,64,64,0.0,0,96ffc2124644de10,23,10,2,45,True,goal_found,56.0,0.0017874000041047111,169,56,pair,56,0,56.0,0.0,0,168,5.2499992307275534e-05,112,56,0,2,False
study_open_64,sfbds_f2e,100,26,open,64,64,0.0,0,96ffc2124644de10,23,10,2,45,True,goal_found,56.0,0.0017907999936142005,169,56,pair,56,0,56.0,0.0,0,168,0.00013389999367063865,112,56,0,2,False
study_open_64,astar,100,27,open,64,64,0.0,0,9e572e9dad0d884a,18,20,0,1,True,goal_found,37.0,0.000626500004727859,112,37,state,,,,,,111,3.089999518124387e-05,74,37,0,2,False
