experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_random_128_d10,astar,110,0,random_obstacles,128,128,0.0999755859375,1638,c6f7c7386ecd760c,99,63,105,123,True,goal_found,66.0,0.0030914000017219223,730,273,state,,,,,,524,0.00012090013478882611,126,273,0,207,False
study_random_128_d10,sfbds_f2f,110,0,random_obstacles,128,128,0.0999755859375,1638,c6f7c7386ecd760c,99,63,105,123,True,goal_found,66.0,0.005828900000778958,730,273,pair,273,0,66.0,0.0,0,524,0.00011470002209534869,126,273,0,207,False
study_random_128_d10,sfbds_f2e,110,0,random_obstacles,128,128,0.0999755859375,1638,c6f7c7386ecd760c,99,63,105,123,True,goal_found,66.0,0.006865899995318614,730,273,pair,273,0,66.0,0.0,0,524,0.00036719995114253834,126,273,0,207,False
study_random_128_d10,astar,110,1,random_obstacles,128,128,0.0999755859375,1638,4857d51acdb09b52,70,19,106,80,True,goal_found,97.0,0.003296099996077828,318,127,state,,,,,,280,0.00017649997607804835,144,127,0,39,False
study_random_128_d10,sfbds_f2f,110,1,random_obstacles,128,128,0.0999755859375,1638,4857d51acdb09b52,70,19,106,80,True,goal_found,97.0,0.00846109999838518,474,181,pair,0,181,0.0,97.0,0,393,0.00022910003463039175,155,181,0,82,False
study_random_128_d10,sfbds_f2e,110,1,random_obstacles,128,128,0.0999755859375,1638,4857d51acdb09b52,70,19,106,80,True,goal_found,97.0,0.004398700002639089,474,181,pair,0,181,0.0,97.0,0,393,0.00025429996458115056,155,181,0,82,False
study_random_128_d10,astar,110,2,random_obstacles,128,128,0.0999755859375,1638,f939600dd3700f04,113,3,108,59,True,goal_found,61.0,0.0015982999975676648,324,120,state,,,,,,267,7.080000796122476e-05,108,120,0,58,False
study_random_128_d10,sfbds_f2f,110,2,random_obstacles,128,128,0.0999755859375,1638,f939600dd3700f04,113,3,108,59,True,goal_found,61.0,0.002811800004565157,324,120,pair,120,0,61.0,0.0,0,267,6.150003900984302e-05,108,120,0,58,False
study_random_128_d10,sfbds_f2e,110,2,random_obstacles,128,128,0.0999755859375,1638,f939600dd3700f04,113,3,108,59,True,goal_found,61.0,0.003039799994439818,324,120,pair,120,0,61.0,0.0,0,267,0.00017529999604448676,108,120,0,58,False
study_random_128_d10,astar,110,3,random_obstacles,128,128,0.0999755859375,1638,12b881c3e7817811,27,104,117,70,True,goal_found,124.0,0.008128699999360833,1817,697,state,,,,,,1291,0.0002894998833653517,206,697,0,527,False
study_random_128_d10,sfbds_f2f,110,3,random_obstacles,128,128,0.0999755859375,1638,12b881c3e7817811,27,104,117,70,True,goal_found,124.0,0.016023899996071123,1817,697,pair,697,0,124.0,0.0,0,1291,0.0002886999136535451,206,697,0,527,False
study_random_128_d10,sfbds_f2e,110,3,random_obstacles,128,128,0.0999755859375,1638,12b881c3e7817811,27,104,117,70,True,goal_found,124.0,0.01597330000367947,1817,697,pair,697,0,124.0,0.0,0,1291,0.0007916000104160048,206,697,0,527,False
study_random_128_d10,astar,110,4,random_obstacles,128,128,0.0999755859375,1638,1e336e44830de63f,32,49,66,105,True,goal_found,90.0,0.0013271999996504746,281,112,state,,,,,,257,5.9600002714432776e-05,134,112,0,25,False
study_random_128_d10,sfbds_f2f,110,4,random_obstacles,128,128,0.0999755859375,1638,1e336e44830de63f,32,49,66,105,True,goal_found,90.0,0.008045300004596356,990,384,pair,0,384,0.0,90.0,0,727,0.00015569996321573853,143,384,0,264,False
study_random_128_d10,sfbds_f2e,110,4,random_obstacles,128,128,0.0999755859375,1638,1e336e44830de63f,32,49,66,105,True,goal_found,90.0,0.008373199998459313,990,384,pair,0,384,0.0,90.0,0,727,0.0004544999392237514,143,384,0,264,False
study_random_128_d10,astar,110,5,random_obstacles,128,128,0.0999755859375,1638,99c1d07d91512b27,120,58,45,115,True,goal_found,132.0,0.002270700002554804,465,175,state,,,,,,412,0.0001247999898623675,210,175,0,54,False
study_random_128_d10,sfbds_f2f,110,5,random_obstacles,128,128,0.0999755859375,1638,99c1d07d91512b27,120,58,45,115,True,goal_found,132.0,0.011292200004390907,1233,466,pair,0,466,0.0,132.0,0,919,0.00020839997887378559,216,466,0,315,False
study_random_128_d10,sfbds_f2e,110,5,random_obstacles,128,128,0.0999755859375,1638,99c1d07d91512b27,120,58,45,115,True,goal_found,132.0,0.011173400002007838,1233,466,pair,0,466,0.0,132.0,0,919,0.0005828999928780831,216,466,0,315,False
study_random_128_d10,astar,110,6,random_obstacles,128,128,0.0999755859375,1638,7d24ef22287e2710,57,21,126,84,True,goal_found,132.0,0.006245099997613579,1306,499,state,,,,,,974,0.00024029993073781952,222,499,0,333,False
study_random_128_d10,sfbds_f2f,110,6,random_obstacles,128,128,0.0999755859375,1638,7d24ef22287e2710,57,21,126,84,True,goal_found,132.0,0.011462900001788512,1306,499,pair,499,0,132.0,0.0,0,974,0.0002139000571332872,222,499,0,333,False
study_random_128_d10,sfbds_f2e,110,6,random_obstacles,128,128,0.0999755859375,1638,7d24ef22287e2710,57,21,126,84,True,goal_found,132.0,0.011519699997734278,1306,499,pair,499,0,132.0,0.0,0,974,0.000619599930359982,222,499,0,333,False
