experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_random_128_dense,astar,220,0,random_obstacles,128,128,0.29998779296875,4915,82f13340952259d2,60,11,97,34,True,goal_found,62.0,0.0036620999890146777,727,348,state,,,,,,517,0.00013129989383742213,72,348,0,211,False
study_random_128_dense,sfbds_f2f,220,0,random_obstacles,128,128,0.29998779296875,4915,82f13340952259d2,60,11,97,34,True,goal_found,62.0,0.0031672000040998682,309,152,pair,0,152,0.0,62.0,0,251,6.230008148122579e-05,78,152,0,59,False
study_random_128_dense,sfbds_f2e,220,0,random_obstacles,128,128,0.29998779296875,4915,82f13340952259d2,60,11,97,34,True,goal_found,62.0,0.0031064999930094928,309,152,pair,0,152,0.0,62.0,0,251,0.00016820011660456657,78,152,0,59,False
study_random_128_dense,astar,220,0,random_obstacles,128,128,0.39996337890625,6553,0ee6f34b4fd97281,60,11,97,34,True,goal_found,62.0,0.0018688000127440318,389,203,state,,,,,,289,6.940001912880689e-05,56,203,0,101,False
study_random_128_dense,sfbds_f2f,220,0,random_obstacles,128,128,0.39996337890625,6553,0ee6f34b4fd97281,60,11,97,34,True,goal_found,62.0,0.003743399996892549,317,164,pair,163,1,61.0,1.0,1,245,5.590006185229868e-05,56,164,0,73,False
study_random_128_dense,sfbds_f2e,220,0,random_obstacles,128,128,0.39996337890625,6553,0ee6f34b4fd97281,60,11,97,34,True,goal_found,62.0,0.003533200011588633,334,173,pair,172,1,61.0,1.0,1,257,0.00018000000272877514,60,173,0,78,False
study_random_128_dense,astar,220,0,random_obstacles,128,128,0.449951171875,7372,85cb884ceba59579,60,11,97,34,True,goal_found,68.0,0.002207600002293475,433,266,state,,,,,,316,7.529999129474163e-05,49,266,15,118,False
study_random_128_dense,sfbds_f2f,220,0,random_obstacles,128,128,0.449951171875,7372,85cb884ceba59579,60,11,97,34,True,goal_found,68.0,0.004041799998958595,371,221,pair,220,1,67.0,1.0,1,274,7.940003706607968e-05,49,221,15,98,False
study_random_128_dense,sfbds_f2e,220,0,random_obstacles,128,128,0.449951171875,7372,85cb884ceba59579,60,11,97,34,True,goal_found,68.0,0.005029399995692074,393,238,pair,237,1,67.0,1.0,1,294,0.00021699994977097958,50,238,16,100,False
study_random_128_dense,astar,220,1,random_obstacles,128,128,0.29998779296875,4915,6b54b5c9ff63a9c4,2,65,43,85,True,goal_found,61.0,0.0015225000097416341,303,152,state,,,,,,240,5.760003114119172e-05,69,152,0,64,False
study_random_128_dense,sfbds_f2f,220,1,random_obstacles,128,128,0.29998779296875,4915,6b54b5c9ff63a9c4,2,65,43,85,True,goal_found,61.0,0.0031217000068863854,303,152,pair,152,0,61.0,0.0,0,240,9.289993613492697e-05,69,152,0,64,False
study_random_128_dense,sfbds_f2e,220,1,random_obstacles,128,128,0.29998779296875,4915,6b54b5c9ff63a9c4,2,65,43,85,True,goal_found,61.0,0.003002600002218969,303,152,pair,152,0,61.0,0.0,0,240,0.00015870018978603184,69,152,0,64,False
study_random_128_dense,astar,220,1,random_obstacles,128,128,0.39996337890625,6553,39982958dd9ae984,2,65,43,85,True,goal_found,81.0,0.0036429000028874725,688,435,state,,,,,,492,0.00012390002666506916,36,435,19,197,False
study_random_128_dense,sfbds_f2f,220,1,random_obstacles,128,128,0.39996337890625,6553,39982958dd9ae984,2,65,43,85,True,goal_found,81.0,0.007402799994451925,688,435,pair,435,0,81.0,0.0,0,492,0.00011200024164281785,36,435,19,197,False
study_random_128_dense,sfbds_f2e,220,1,random_obstacles,128,128,0.39996337890625,6553,39982958dd9ae984,2,65,43,85,True,goal_found,81.0,0.007944000011775643,688,435,pair,435,0,81.0,0.0,0,492,0.0003468000068096444,36,435,19,197,False
study_random_128_dense,astar,220,1,random_obstacles,128,128,0.449951171875,7372,b16d2a45f7fba0f7,2,65,43,85,True,goal_found,81.0,0.00301279999257531,557,370,state,,,,,,405,9.910011431202292e-05,30,370,11,153,False
study_random_128_dense,sfbds_f2f,220,1,random_obstacles,128,128,0.449951171875,7372,b16d2a45f7fba0f7,2,65,43,85,True,goal_found,81.0,0.006032999997842126,557,370,pair,370,0,81.0,0.0,0,405,8.92999378265813e-05,30,370,11,153,False
study_random_128_dense,sfbds_f2e,220,1,random_obstacles,128,128,0.449951171875,7372,b16d2a45f7fba0f7,2,65,43,85,True,goal_found,81.0,0.006860499997856095,557,370,pair,370,0,81.0,0.0,0,405,0.00028099995688535273,30,370,11,153,False
study_random_128_dense,astar,220,2,random_obstacles,128,128,0.29998779296875,4915,a6b98806c76aaf0f,65,14,7,4,True,goal_found,80.0,0.005783500004326925,1068,590,state,,,,,,715,0.0001708999479888007,62,590,73,354,False
study_random_128_dense,sfbds_f2f,220,2,random_obstacles,128,128,0.29998779296875,4915,a6b98806c76aaf0f,65,14,7,4,True,goal_found,80.0,0.009874499999568798,942,482,pair,0,482,0.0,80.0,0,636,0.00016790014342404902,89,482,50,307,False
study_random_128_dense,sfbds_f2e,220,2,random_obstacles,128,128,0.29998779296875,4915,a6b98806c76aaf0f,65,14,7,4,True,goal_found,80.0,0.010958900005789474,942,482,pair,0,482,0.0,80.0,0,636,0.0004761999298352748,89,482,50,307,False
study_random_128_dense,astar,220,2,random_obstacles,128,128,0.39996337890625,6553,7ec66de260de22da,65,14,7,4,True,goal_found,102.0,0.009149399993475527,1209,781,state,,,,,,874,0.0003184998931828886,62,781,31,336,False
study_random_128_dense,sfbds_f2f,220,2,random_obstacles,128,128,0.39996337890625,6553,7ec66de260de22da,65,14,7,4,True,goal_found,102.0,0.011847099987789989,929,572,pair,0,572,0.0,102.0,0,644,0.00016329990467056632,34,572,37,286,False
study_random_128_dense,sfbds_f2e,220,2,random_obstacles,128,128,0.39996337890625,6553,7ec66de260de22da,65,14,7,4,True,goal_found,102.0,0.014313599996967241,929,572,pair,0,572,0.0,102.0,0,644,0.0005978999979561195,34,572,37,286,False
study_random_128_dense,astar,220,2,random_obstacles,128,128,0.449951171875,7372,196538aef2f165a7,65,14,7,4,True,goal_found,106.0,0.0055840999993961304,727,496,state,,,,,,551,0.0001720001600915566,42,496,22,177,False
