experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_random_d20,astar,120,0,random_obstacles,64,64,0.199951171875,819,24b3a18fc639446b,31,24,59,11,True,goal_found,41.0,0.0019226000003982335,287,126,state,,,,,,223,8.109997725114226e-05,61,126,0,65,False
study_random_d20,sfbds_f2f,120,0,random_obstacles,64,64,0.199951171875,819,24b3a18fc639446b,31,24,59,11,True,goal_found,41.0,0.001055500004440546,93,42,pair,0,42,0.0,41.0,0,92,3.069999365834519e-05,50,42,0,2,False
study_random_d20,sfbds_f2e,120,0,random_obstacles,64,64,0.199951171875,819,24b3a18fc639446b,31,24,59,11,True,goal_found,41.0,0.0010853000057977624,93,42,pair,0,42,0.0,41.0,0,92,7.19000308890827e-05,50,42,0,2,False
study_random_d20,astar,120,1,random_obstacles,64,64,0.199951171875,819,267efca05fe4de13,41,47,20,13,True,goal_found,57.0,0.0023263999974005856,442,191,state,,,,,,338,8.790007268544286e-05,77,191,0,105,False
study_random_d20,sfbds_f2f,120,1,random_obstacles,64,64,0.199951171875,819,267efca05fe4de13,41,47,20,13,True,goal_found,57.0,0.004518399997323286,442,191,pair,191,0,57.0,0.0,0,338,8.530000923201442e-05,77,191,0,105,False
study_random_d20,sfbds_f2e,120,1,random_obstacles,64,64,0.199951171875,819,267efca05fe4de13,41,47,20,13,True,goal_found,57.0,0.004600699998263735,442,191,pair,191,0,57.0,0.0,0,338,0.0002381000085733831,77,191,0,105,False
study_random_d20,astar,120,2,random_obstacles,64,64,0.199951171875,819,c3804088f04ac342,40,38,16,36,True,goal_found,32.0,0.0009546000001137145,178,80,state,,,,,,118,3.460000152699649e-05,36,80,3,61,False
study_random_d20,sfbds_f2f,120,2,random_obstacles,64,64,0.199951171875,819,c3804088f04ac342,40,38,16,36,True,goal_found,32.0,0.0018933000028482638,178,80,pair,80,0,32.0,0.0,0,118,3.66999811376445e-05,36,80,3,61,False
study_random_d20,sfbds_f2e,120,2,random_obstacles,64,64,0.199951171875,819,c3804088f04ac342,40,38,16,36,True,goal_found,32.0,0.0020759999970323406,178,80,pair,80,0,32.0,0.0,0,118,0.0001129999800468795,36,80,3,61,False
study_random_d20,astar,120,3,random_obstacles,64,64,0.199951171875,819,8e576118f3a106d7,14,54,26,25,True,goal_found,43.0,0.001925200005644001,314,145,state,,,,,,235,7.490006100852042e-05,55,145,0,80,False
study_random_d20,sfbds_f2f,120,3,random_obstacles,64,64,0.199951171875,819,8e576118f3a106d7,14,54,26,25,True,goal_found,43.0,0.0034186999982921407,280,122,pair,0,122,0.0,43.0,0,206,6.710003799526021e-05,50,122,2,75,False
study_random_d20,sfbds_f2e,120,3,random_obstacles,64,64,0.199951171875,819,8e576118f3a106d7,14,54,26,25,True,goal_found,43.0,0.003347799996845424,280,122,pair,0,122,0.0,43.0,0,206,0.00021879999985685572,50,122,2,75,False
