experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_corridor_512,astar,150,0,corridor,1,512,0.0,0,bfea4644ab36215d,0,408,0,232,True,goal_found,176.0,0.0016718999831937253,177,176,state,,,,,,178,6.129982648417354e-05,2,176,0,0,False
study_corridor_512,sfbds_f2f,150,0,corridor,1,512,0.0,0,bfea4644ab36215d,0,408,0,232,True,goal_found,176.0,0.004322400025557727,177,176,pair,176,0,176.0,0.0,0,178,7.00999516993761e-05,2,176,0,0,False
study_corridor_512,sfbds_f2e,150,0,corridor,1,512,0.0,0,bfea4644ab36215d,0,408,0,232,True,goal_found,176.0,0.003251599962823093,177,176,pair,176,0,176.0,0.0,0,178,0.0001770000671967864,2,176,0,0,False
study_corridor_512,astar,150,1,corridor,1,512,0.0,0,1339db7f9d1ddeca,0,489,0,166,True,goal_found,323.0,0.0031500000040978193,324,323,state,,,,,,325,0.0001121999230235815,2,323,0,0,False
study_corridor_512,sfbds_f2f,150,1,corridor,1,512,0.0,0,1339db7f9d1ddeca,0,489,0,166,True,goal_found,323.0,0.005982900038361549,324,323,pair,323,0,323.0,0.0,0,325,0.00012749998131766915,2,323,0,0,False
study_corridor_512,sfbds_f2e,150,1,corridor,1,512,0.0,0,1339db7f9d1ddeca,0,489,0,166,True,goal_found,323.0,0.008249999955296516,324,323,pair,323,0,323.0,0.0,0,325,0.0004038003971800208,2,323,0,0,False
study_corridor_512,astar,150,2,corridor,1,512,0.0,0,ec2449d75b15a2b9,0,93,0,340,True,goal_found,247.0,0.0022052000276744366,248,247,state,,,,,,249,7.719959830865264e-05,2,247,0,0,False
study_corridor_512,sfbds_f2f,150,2,corridor,1,512,0.0,0,ec2449d75b15a2b9,0,93,0,340,True,goal_found,247.0,0.005983599985484034,248,247,pair,247,0,247.0,0.0,0,249,0.00012240023352205753,2,247,0,0,False
study_corridor_512,sfbds_f2e,150,2,corridor,1,512,0.0,0,ec2449d75b15a2b9,0,93,0,340,True,goal_found,247.0,0.007117400004062802,248,247,pair,247,0,247.0,0.0,0,249,0.00040989997796714306,2,247,0,0,False
study_corridor_512,astar,150,3,corridor,1,512,0.0,0,a9f6537a584fa14d,0,453,0,52,True,goal_found,401.0,0.0043120000045746565,402,401,state,,,,,,403,0.0001505002728663385,2,401,0,0,False
study_corridor_512,sfbds_f2f,150,3,corridor,1,512,0.0,0,a9f6537a584fa14d,0,453,0,52,True,goal_found,401.0,0.009955500019714236,402,401,pair,401,0,401.0,0.0,0,403,0.00020880030933767557,2,401,0,0,False
study_corridor_512,sfbds_f2e,150,3,corridor,1,512,0.0,0,a9f6537a584fa14d,0,453,0,52,True,goal_found,401.0,0.009423499985132366,402,401,pair,401,0,401.0,0.0,0,403,0.0004882993525825441,2,401,0,0,False
study_corridor_512,astar,150,4,corridor,1,512,0.0,0,ffa3b890170e2245,0,138,0,383,True,goal_found,245.0,0.002197600028011948,246,245,state,,,,,,247,7.820012979209423e-05,2,245,0,0,False
study_corridor_512,sfbds_f2f,150,4,corridor,1,512,0.0,0,ffa3b890170e2245,0,138,0,383,True,goal_found,245.0,0.004729999986011535,246,245,pair,245,0,245.0,0.0,0,247,9.400001727044582e-05,2,245,0,0,False
study_corridor_512,sfbds_f2e,150,4,corridor,1,512,0.0,0,ffa3b890170e2245,0,138,0,383,True,goal_found,245.0,0.005846100044436753,246,245,pair,245,0,245.0,0.0,0,247,0.000344100350048393,2,245,0,0,False
study_corridor_512,astar,150,5,corridor,1,512,0.0,0,41061115621391f8,0,210,0,505,True,goal_found,295.0,0.003086599987000227,296,295,state,,,,,,297,9.830028284341097e-05,2,295,0,0,False
