experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_maze_127_far_opt,astar,141,0,maze,127,127,0.4920949841899684,7937,cfc0ba9008a6c0fa,100,60,22,73,True,goal_found,3185.0,0.046937600011006,6232,6228,state,,,,,,6233,0.0014887995785102248,11,6228,0,0,False
study_maze_127_far_opt,sfbds_f2f,141,0,maze,127,127,0.4920949841899684,7937,cfc0ba9008a6c0fa,100,60,22,73,True,goal_found,3185.0,0.5642070000176318,31963,31935,pair,11051,20884,3185.0,0.0,6052,31956,0.01125189836602658,26,31935,2,8,False
study_maze_127_far_opt,sfbds_f2e,141,0,maze,127,127,0.4920949841899684,7937,cfc0ba9008a6c0fa,100,60,22,73,True,goal_found,3185.0,0.5429690000019036,32733,32705,pair,11207,21498,3185.0,0.0,4948,32724,0.023844896641094238,28,32645,0,10,False
study_maze_127_far_opt,astar,141,1,maze,127,127,0.4920949841899684,7937,48cdf93a3c72d5a6,89,59,0,118,True,goal_found,1772.0,0.04118679999373853,5515,5512,state,,,,,,5514,0.0013272008509375155,9,5512,0,2,False
study_maze_127_far_opt,sfbds_f2f,141,1,maze,127,127,0.4920949841899684,7937,48cdf93a3c72d5a6,89,59,0,118,True,goal_found,1772.0,0.08421599998837337,5515,5512,pair,5512,0,1772.0,0.0,0,5514,0.0014429993461817503,9,5512,0,2,False
study_maze_127_far_opt,sfbds_f2e,141,1,maze,127,127,0.4920949841899684,7937,48cdf93a3c72d5a6,89,59,0,118,True,goal_found,1772.0,0.08775549998972565,5515,5512,pair,5512,0,1772.0,0.0,0,5514,0.003941300674341619,9,5512,0,2,False
study_maze_127_far_opt,astar,141,2,maze,127,127,0.49197098394196787,7935,919c96e8c7f5765f,34,83,71,1,True,goal_found,963.0,0.015357800002675503,2018,2011,state,,,,,,2018,0.000499701127409935,7,2011,1,1,False
study_maze_127_far_opt,sfbds_f2f,141,2,maze,127,127,0.49197098394196787,7935,919c96e8c7f5765f,34,83,71,1,True,goal_found,963.0,0.03244680003263056,2018,2011,pair,2011,0,963.0,0.0,0,2018,0.0005467999144457281,7,2011,1,1,False
study_maze_127_far_opt,sfbds_f2e,141,2,maze,127,127,0.49197098394196787,7935,919c96e8c7f5765f,34,83,71,1,True,goal_found,963.0,0.03171049995580688,2018,2011,pair,2011,0,963.0,0.0,0,2018,0.0013751006335951388,7,2011,1,1,False
study_maze_127_far_opt,astar,141,3,maze,127,127,0.49197098394196787,7935,df055c75f681d05d,87,125,115,43,True,goal_found,774.0,0.020271799992769957,2670,2666,state,,,,,,2671,0.0006384002044796944,11,2666,0,0,False
study_maze_127_far_opt,sfbds_f2f,141,3,maze,127,127,0.49197098394196787,7935,df055c75f681d05d,87,125,115,43,True,goal_found,774.0,0.042568600038066506,2670,2666,pair,2666,0,774.0,0.0,0,2671,0.0007185990107245743,11,2666,0,0,False
