experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_maze_127_opt,astar,140,0,maze,127,127,0.4920329840659681,7936,73b1310faa7be825,98,111,12,3,True,goal_found,1410.0,0.01991689996793866,2879,2873,state,,,,,,2879,0.000758299371227622,8,2873,1,1,False
study_maze_127_opt,sfbds_f2f,140,0,maze,127,127,0.4920329840659681,7936,73b1310faa7be825,98,111,12,3,True,goal_found,1410.0,0.1004337000194937,6711,6700,pair,2864,3836,1410.0,0.0,1062,6710,0.0016458002501167357,21,6700,2,2,False
study_maze_127_opt,sfbds_f2e,140,0,maze,127,127,0.4920329840659681,7936,73b1310faa7be825,98,111,12,3,True,goal_found,1410.0,0.11386189999757335,7262,7245,pair,2864,4381,1410.0,0.0,758,7260,0.005020399752538651,13,6992,4,3,False
study_maze_127_opt,astar,140,1,maze,127,127,0.49215698431396865,7938,d2cbfeed0384ee05,34,2,68,93,True,goal_found,2695.0,0.03208159998757765,4622,4616,state,,,,,,4623,0.0011012994218617678,9,4616,0,0,False
study_maze_127_opt,sfbds_f2f,140,1,maze,127,127,0.49215698431396865,7938,d2cbfeed0384ee05,34,2,68,93,True,goal_found,2695.0,0.2557501000119373,15966,15960,pair,11109,4851,1918.0,777.0,1290,15967,0.006292399542871863,20,15960,0,0,False
study_maze_127_opt,sfbds_f2e,140,1,maze,127,127,0.49215698431396865,7938,d2cbfeed0384ee05,34,2,68,93,True,goal_found,2695.0,0.2667422000085935,16639,16631,pair,11780,4851,1918.0,777.0,1620,16640,0.011771996680181473,22,16631,0,0,False
study_maze_127_opt,astar,140,2,maze,127,127,0.49215698431396865,7938,3563dfc7dd20b324,6,86,92,28,True,goal_found,2052.0,0.029789899999741465,4058,4054,state,,,,,,4059,0.0009484007605351508,7,4054,0,0,False
study_maze_127_opt,sfbds_f2f,140,2,maze,127,127,0.49215698431396865,7938,3563dfc7dd20b324,6,86,92,28,True,goal_found,2052.0,0.06274309998843819,4058,4054,pair,4054,0,2052.0,0.0,0,4059,0.0010466997628100216,7,4054,0,0,False
study_maze_127_opt,sfbds_f2e,140,2,maze,127,127,0.49215698431396865,7938,3563dfc7dd20b324,6,86,92,28,True,goal_found,2052.0,0.059749300009571016,4058,4054,pair,4054,0,2052.0,0.0,0,4059,0.0027918999549001455,7,4054,0,0,False
study_maze_127_opt,astar,140,3,maze,127,127,0.49197098394196787,7935,d771ec47e214c8f2,48,107,81,49,True,goal_found,833.0,0.010568699974101037,1484,1479,state,,,,,,1484,0.00032040016958490014,6,1479,1,1,False
study_maze_127_opt,sfbds_f2f,140,3,maze,127,127,0.49197098394196787,7935,d771ec47e214c8f2,48,107,81,49,True,goal_found,833.0,0.022007500054314733,1484,1479,pair,1479,0,833.0,0.0,0,1484,0.000369300483725965,6,1479,1,1,False
study_maze_127_opt,sfbds_f2e,140,3,maze,127,127,0.49197098394196787,7935,d771ec47e214c8f2,48,107,81,49,True,goal_found,833.0,0.0226610999670811,1484,1479,pair,1479,0,833.0,0.0,0,1484,0.0009757994557730854,6,1479,1,1,False
study_maze_127_opt,astar,140,4,maze,127,127,0.49215698431396865,7938,d936e15f058a47a7,22,29,77,24,True,goal_found,1582.0,0.020688500022515655,2979,2976,state,,,,,,2980,0.0007179999956861138,13,2976,0,0,False
study_maze_127_opt,sfbds_f2f,140,4,maze,127,127,0.49215698431396865,7938,d936e15f058a47a7,22,29,77,24,True,goal_found,1582.0,0.053799199988134205,3400,3392,pair,2123,1269,1289.0,293.0,61,3401,0.0008833001484163105,13,3392,0,0,False
study_maze_127_opt,sfbds_f2e,140,4,maze,127,127,0.49215698431396865,7938,d936e15f058a47a7,22,29,77,24,True,goal_found,1582.0,0.055352199997287244,3769,3761,pair,2190,1571,1289.0,293.0,147,3770,0.0025070999981835485,14,3761,0,0,False
study_maze_127_opt,astar,140,5,maze,127,127,0.4920329840659681,7936,07905ba9e4dda933,56,117,37,7,True,goal_found,913.0,0.008966499997768551,1260,1253,state,,,,,,1261,0.00028449989622458816,8,1253,0,0,False
study_maze_127_opt,sfbds_f2f,140,5,maze,127,127,0.4920329840659681,7936,07905ba9e4dda933,56,117,37,7,True,goal_found,913.0,0.01703079999424517,1260,1253,pair,1253,0,913.0,0.0,0,1261,0.0003052999381907284,8,1253,0,0,False
study_maze_127_opt,sfbds_f2e,140,5,maze,127,127,0.4920329840659681,7936,07905ba9e4dda933,56,117,37,7,True,goal_found,913.0,0.01830240001436323,1260,1253,pair,1253,0,913.0,0.0,0,1261,0.0008262003539130092,8,1253,0,0,False
study_maze_127_opt,astar,140,6,maze,127,127,0.4920949841899684,7937,5cd41a505b8e43f7,56,84,71,18,True,goal_found,1797.0,0.020902799966279417,3000,2997,state,,,,,,3001,0.0006909996154718101,11,2997,0,0,False
study_maze_127_opt,sfbds_f2f,140,6,maze,127,127,0.4920949841899684,7937,5cd41a505b8e43f7,56,84,71,18,True,goal_found,1797.0,0.04123440000694245,3000,2997,pair,2997,0,1797.0,0.0,0,3001,0.0007654004730284214,11,2997,0,0,False
study_maze_127_opt,sfbds_f2e,140,6,maze,127,127,0.4920949841899684,7937,5cd41a505b8e43f7,56,84,71,18,True,goal_found,1797.0,0.043632699991576374,3000,2997,pair,2997,0,1797.0,0.0,0,3001,0.0020077001536265016,11,2997,0,0,False
study_maze_127_opt,astar,140,7,maze,127,127,0.49197098394196787,7935,1ea178e37ab711ac,51,95,103,75,True,goal_found,2050.0,0.0349848999758251,4983,4972,state,,,,,,4981,0.001132999372202903,15,4972,1,3,False
study_maze_127_opt,sfbds_f2f,140,7,maze,127,127,0.49197098394196787,7935,1ea178e37ab711ac,51,95,103,75,True,goal_found,2050.0,0.1165548000135459,7860,7839,pair,4284,3555,2050.0,0.0,1536,7855,0.0020634994725696743,21,7839,4,6,False
study_maze_127_opt,sfbds_f2e,140,7,maze,127,127,0.49197098394196787,7935,1ea178e37ab711ac,51,95,103,75,True,goal_found,2050.0,0.1459715999662876,8582,8560,pair,4293,4267,2050.0,0.0,1066,8574,0.006525999924633652,20,8530,1,9,False
study_maze_127_opt,astar,140,8,maze,127,127,0.4920949841899684,7937,21032c73d32c5fbf,13,84,69,122,True,goal_found,2026.0,0.05584649997763336,7921,7915,state,,,,,,7920,0.0017711999826133251,13,7915,0,2,False
study_maze_127_opt,sfbds_f2f,140,8,maze,127,127,0.4920949841899684,7937,21032c73d32c5fbf,13,84,69,122,True,goal_found,2026.0,0.42747090000193566,27818,27789,pair,8675,19114,2026.0,0.0,4504,27817,0.00757819670252502,34,27789,0,2,False
study_maze_127_opt,sfbds_f2e,140,8,maze,127,127,0.4920949841899684,7937,21032c73d32c5fbf,13,84,69,122,True,goal_found,2026.0,0.48729589994763955,29481,29447,pair,8835,20612,2026.0,0.0,3466,29480,0.022568200016394258,35,29447,0,2,False
study_maze_127_opt,astar,140,9,maze,127,127,0.49215698431396865,7938,ee8c5833a87f4de2,70,18,88,65,True,goal_found,2417.0,0.03632749995449558,5015,5013,state,,,,,,5016,0.0013153008185327053,11,5013,0,0,False
study_maze_127_opt,sfbds_f2f,140,9,maze,127,127,0.49215698431396865,7938,ee8c5833a87f4de2,70,18,88,65,True,goal_found,2417.0,0.194612099963706,11471,11468,pair,5020,6448,2417.0,0.0,1996,11472,0.0030464997398667037,20,11468,0,0,False
