experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_maze_127_timed_opt,astar,140,0,maze,127,127,0.4920329840659681,7936,73b1310faa7be825,98,111,12,3,True,goal_found,1410.0,0.02096890000393614,2879,2873,state,,,,,,2879,0.0006440998404286802,8,2873,1,1,False
study_maze_127_timed_opt,sfbds_f2f,140,0,maze,127,127,0.4920329840659681,7936,73b1310faa7be825,98,111,12,3,True,goal_found,1410.0,0.10639909998280928,6711,6700,pair,2864,3836,1410.0,0.0,1062,6710,0.0017824991373345256,21,6700,2,2,False
study_maze_127_timed_opt,sfbds_f2e,140,0,maze,127,127,0.4920329840659681,7936,73b1310faa7be825,98,111,12,3,True,goal_found,1410.0,0.12051209999481216,7262,7245,pair,2864,4381,1410.0,0.0,758,7260,0.005492999276611954,13,6992,4,3,False
study_maze_127_timed_opt,astar,140,1,maze,127,127,0.49215698431396865,7938,d2cbfeed0384ee05,34,2,68,93,True,goal_found,2695.0,0.03476579999551177,4622,4616,state,,,,,,4623,0.001114699407480657,9,4616,0,0,False
study_maze_127_timed_opt,sfbds_f2f,140,1,maze,127,127,0.49215698431396865,7938,d2cbfeed0384ee05,34,2,68,93,True,goal_found,2695.0,0.26775980001548305,15966,15960,pair,11109,4851,1918.0,777.0,1290,15967,0.0048084992449730635,20,15960,0,0,False
study_maze_127_timed_opt,sfbds_f2e,140,1,maze,127,127,0.49215698431396865,7938,d2cbfeed0384ee05,34,2,68,93,True,goal_found,2695.0,0.28421409998554736,16639,16631,pair,11780,4851,1918.0,777.0,1620,16640,0.012477398500777781,22,16631,0,0,False
study_maze_127_timed_opt,astar,140,2,maze,127,127,0.49215698431396865,7938,3563dfc7dd20b324,6,86,92,28,True,goal_found,2052.0,0.0308410000288859,4058,4054,state,,,,,,4059,0.0010084989480674267,7,4054,0,0,False
study_maze_127_timed_opt,sfbds_f2f,140,2,maze,127,127,0.49215698431396865,7938,3563dfc7dd20b324,6,86,92,28,True,goal_found,2052.0,0.060687299992423505,4058,4054,pair,4054,0,2052.0,0.0,0,4059,0.0010788010549731553,7,4054,0,0,False
study_maze_127_timed_opt,sfbds_f2e,140,2,maze,127,127,0.49215698431396865,7938,3563dfc7dd20b324,6,86,92,28,True,goal_found,2052.0,0.06373890000395477,4058,4054,pair,4054,0,2052.0,0.0,0,4059,0.003023798519279808,7,4054,0,0,False
study_maze_127_timed_opt,astar,140,3,maze,127,127,0.49197098394196787,7935,d771ec47e214c8f2,48,107,81,49,True,goal_found,833.0,0.01119049999397248,1484,1479,state,,,,,,1484,0.00035630021011456847,6,1479,1,1,False
study_maze_127_timed_opt,sfbds_f2f,140,3,maze,127,127,0.49197098394196787,7935,d771ec47e214c8f2,48,107,81,49,True,goal_found,833.0,0.023538900015410036,1484,1479,pair,1479,0,833.0,0.0,0,1484,0.00038320047315210104,6,1479,1,1,False
study_maze_127_timed_opt,sfbds_f2e,140,3,maze,127,127,0.49197098394196787,7935,d771ec47e214c8f2,48,107,81,49,True,goal_found,833.0,0.024010399996768683,1484,1479,pair,1479,0,833.0,0.0,0,1484,0.0010569994919933379,6,1479,1,1,False
study_maze_127_timed_opt,astar,140,4,maze,127,127,0.49215698431396865,7938,d936e15f058a47a7,22,29,77,24,True,goal_found,1582.0,0.02235419995849952,2979,2976,state,,,,,,2980,0.000761600153055042,13,2976,0,0,False
study_maze_127_timed_opt,sfbds_f2f,140,4,maze,127,127,0.49215698431396865,7938,d936e15f058a47a7,22,29,77,24,True,goal_found,1582.0,0.05281049996847287,3400,3392,pair,2123,1269,1289.0,293.0,61,3401,0.0009542002226226032,13,3392,0,0,False
study_maze_127_timed_opt,sfbds_f2e,140,4,maze,127,127,0.49215698431396865,7938,d936e15f058a47a7,22,29,77,24,True,goal_found,1582.0,0.06052629998885095,3769,3761,pair,2190,1571,1289.0,293.0,147,3770,0.0027657990576699376,14,3761,0,0,False
study_maze_127_timed_opt,astar,140,5,maze,127,127,0.4920329840659681,7936,07905ba9e4dda933,56,117,37,7,True,goal_found,913.0,0.009439699992071837,1260,1253,state,,,,,,1261,0.0002956999815069139,8,1253,0,0,False
study_maze_127_timed_opt,sfbds_f2f,140,5,maze,127,127,0.4920329840659681,7936,07905ba9e4dda933,56,117,37,7,True,goal_found,913.0,0.018905999953858554,1260,1253,pair,1253,0,913.0,0.0,0,1261,0.0003271006280556321,8,1253,0,0,False
study_maze_127_timed_opt,sfbds_f2e,140,5,maze,127,127,0.4920329840659681,7936,07905ba9e4dda933,56,117,37,7,True,goal_found,913.0,0.019676800002343953,1260,1253,pair,1253,0,913.0,0.0,0,1261,0.0009073003311641514,8,1253,0,0,False
study_maze_127_timed_opt,astar,140,6,maze,127,127,0.4920949841899684,7937,5cd41a505b8e43f7,56,84,71,18,True,goal_found,1797.0,0.023090000031515956,3000,2997,state,,,,,,3001,0.0007195996586233377,11,2997,0,0,False
study_maze_127_timed_opt,sfbds_f2f,140,6,maze,127,127,0.4920949841899684,7937,5cd41a505b8e43f7,56,84,71,18,True,goal_found,1797.0,0.04530900000827387,3000,2997,pair,2997,0,1797.0,0.0,0,3001,0.0008062002598308027,11,2997,0,0,False
study_maze_127_timed_opt,sfbds_f2e,140,6,maze,127,127,0.4920949841899684,7937,5cd41a505b8e43f7,56,84,71,18,True,goal_found,1797.0,0.04711540002608672,3000,2997,pair,2997,0,1797.0,0.0,0,3001,0.0021936011034995317,11,2997,0,0,False
study_maze_127_timed_opt,astar,140,7,maze,127,127,0.49197098394196787,7935,1ea178e37ab711ac,51,95,103,75,True,goal_found,2050.0,0.03828059998340905,4983,4972,state,,,,,,4981,0.0012154006399214268,15,4972,1,3,False
study_maze_127_timed_opt,sfbds_f2f,140,7,maze,127,127,0.49197098394196787,7935,1ea178e37ab711ac,51,95,103,75,True,goal_found,2050.0,0.12400449998676777,7860,7839,pair,4284,3555,2050.0,0.0,1536,7855,0.0022794015239924192,21,7839,4,6,False
study_maze_127_timed_opt,sfbds_f2e,140,7,maze,127,127,0.49197098394196787,7935,1ea178e37ab711ac,51,95,103,75,True,goal_found,2050.0,0.14224339998327196,8582,8560,pair,4293,4267,2050.0,0.0,1066,8574,0.006471098051406443,20,8530,1,9,False
study_maze_127_timed_opt,astar,140,8,maze,127,127,0.4920949841899684,7937,21032c73d32c5fbf,13,84,69,122,True,goal_found,2026.0,0.060424900031648576,7921,7915,state,,,,,,7920,0.0021198002505116165,13,7915,0,2,False
study_maze_127_timed_opt,sfbds_f2f,140,8,maze,127,127,0.4920949841899684,7937,21032c73d32c5fbf,13,84,69,122,True,goal_found,2026.0,0.4621327000204474,27818,27789,pair,8675,19114,2026.0,0.0,4504,27817,0.008166502229869366,34,27789,0,2,False
study_maze_127_timed_opt,sfbds_f2e,140,8,maze,127,127,0.4920949841899684,7937,21032c73d32c5fbf,13,84,69,122,True,goal_found,2026.0,0.5000054000411183,29481,29447,pair,8835,20612,2026.0,0.0,3466,29480,0.022137905762065202,35,29447,0,2,False
study_maze_127_timed_opt,astar,140,9,maze,127,127,0.49215698431396865,7938,ee8c5833a87f4de2,70,18,88,65,True,goal_found,2417.0,0.03780120000010356,5015,5013,state,,,,,,5016,0.0013339995639398694,11,5013,0,0,False
study_maze_127_timed_opt,sfbds_f2f,140,9,maze,127,127,0.49215698431396865,7938,ee8c5833a87f4de2,70,18,88,65,True,goal_found,2417.0,0.18737850000616163,11471,11468,pair,5020,6448,2417.0,0.0,1996,11472,0.0033478009863756597,20,11468,0,0,False
study_maze_127_timed_opt,sfbds_f2e,140,9,maze,127,127,0.49215698431396865,7938,ee8c5833a87f4de2,70,18,88,65,True,goal_found,2417.0,0.19542760000331327,11549,11546,pair,5020,6526,2417.0,0.0,1818,11550,0.008764695434365422,20,11546,0,0,False
study_maze_127_timed_opt,astar,140,10,maze,127,127,0.4920949841899684,7937,0e12d00bb980c33c,48,10,39,63,True,goal_found,3968.0,0.05810879997443408,7598,7593,state,,,,,,7599,0.0018954985425807536,12,7593,0,0,False
study_maze_127_timed_opt,sfbds_f2f,140,10,maze,127,127,0.4920949841899684,7937,0e12d00bb980c33c,48,10,39,63,True,goal_found,3968.0,0.3597054000128992,22359,22335,pair,7639,14696,3968.0,0.0,2762,22350,0.006186301005072892,23,22335,0,10,False
study_maze_127_timed_opt,sfbds_f2e,140,10,maze,127,127,0.4920949841899684,7937,0e12d00bb980c33c,48,10,39,63,True,goal_found,3968.0,0.3839528999524191,22787,22761,pair,7639,15122,3968.0,0.0,1970,22778,0.01720839977497235,25,22761,0,10,False
study_maze_127_timed_opt,astar,140,11,maze,127,127,0.4920329840659681,7936,970f83f01391bbf9,90,18,29,107,True,goal_found,2552.0,0.02919649996329099,3928,3923,state,,,,,,3929,0.0009121008333750069,11,3923,0,0,False
study_maze_127_timed_opt,sfbds_f2f,140,11,maze,127,127,0.4920329840659681,7936,970f83f01391bbf9,90,18,29,107,True,goal_found,2552.0,0.061512699990998954,3928,3923,pair,3923,0,2552.0,0.0,0,3929,0.0010587000870145857,11,3923,0,0,False
study_maze_127_timed_opt,sfbds_f2e,140,11,maze,127,127,0.4920329840659681,7936,970f83f01391bbf9,90,18,29,107,True,goal_found,2552.0,0.0639521999983117,3928,3923,pair,3923,0,2552.0,0.0,0,3929,0.0029095998033881187,11,3923,0,0,False
study_maze_127_timed_opt,astar,140,12,maze,127,127,0.49215698431396865,7938,b373a0f312edbeba,24,48,68,106,True,goal_found,3878.0,0.05498349998379126,7376,7373,state,,,,,,7377,0.0017451998428441584,13,7373,0,0,False
study_maze_127_timed_opt,sfbds_f2f,140,12,maze,127,127,0.49215698431396865,7938,b373a0f312edbeba,24,48,68,106,True,goal_found,3878.0,0.26990710000973195,16580,16574,pair,10386,6188,2662.0,1216.0,1722,16581,0.004564701812341809,14,16574,0,0,False
study_maze_127_timed_opt,sfbds_f2e,140,12,maze,127,127,0.49215698431396865,7938,b373a0f312edbeba,24,48,68,106,True,goal_found,3878.0,0.28545919997850433,16814,16810,pair,10622,6188,2662.0,1216.0,2566,16815,0.012511498993262649,15,16810,0,0,False
study_maze_127_timed_opt,astar,140,13,maze,127,127,0.4920949841899684,7937,770efeba7c5fe238,123,117,60,76,True,goal_found,836.0,0.007857599994167686,1093,1089,state,,,,,,1092,0.0002487000310793519,5,1089,0,2,False
