experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_maze_255_braid_opt,astar,150,0,maze,255,255,0.3720415224913495,24192,77397349d769b0e3,48,58,77,207,True,goal_found,186.0,0.01993799995398149,2578,1810,state,,,,,,2261,0.000648600747808814,153,1810,264,318,False
study_maze_255_braid_opt,sfbds_f2f,150,0,maze,255,255,0.3720415224913495,24192,77397349d769b0e3,48,58,77,207,True,goal_found,186.0,0.03522489999886602,2742,1938,pair,0,1938,0.0,186.0,0,2400,0.0007175998762249947,172,1938,299,343,False
study_maze_255_braid_opt,sfbds_f2e,150,0,maze,255,255,0.3720415224913495,24192,77397349d769b0e3,48,58,77,207,True,goal_found,186.0,0.03968129999702796,2742,1938,pair,0,1938,0.0,186.0,0,2400,0.002024299930781126,172,1938,299,343,False
study_maze_255_braid_opt,astar,150,1,maze,255,255,0.3720415224913495,24192,38506fbf0519df68,122,37,41,107,True,goal_found,153.0,0.020693900005426258,2674,1848,state,,,,,,2339,0.0006517002475447953,171,1848,2,336,False
study_maze_255_braid_opt,sfbds_f2f,150,1,maze,255,255,0.3720415224913495,24192,38506fbf0519df68,122,37,41,107,True,goal_found,153.0,0.004359200014732778,270,173,pair,157,16,141.0,12.0,6,270,0.00010569998994469643,97,173,0,1,False
study_maze_255_braid_opt,sfbds_f2e,150,1,maze,255,255,0.3720415224913495,24192,38506fbf0519df68,122,37,41,107,True,goal_found,153.0,0.006702299986500293,375,254,pair,238,16,141.0,12.0,6,364,0.00035000022035092115,103,244,0,12,False
study_maze_255_braid_opt,astar,150,2,maze,255,255,0.3720415224913495,24192,27010103ae2ba352,23,215,190,75,True,goal_found,307.0,0.02271009999094531,3428,2336,state,,,,,,3035,0.000743900251109153,306,2336,0,394,False
study_maze_255_braid_opt,sfbds_f2f,150,2,maze,255,255,0.3720415224913495,24192,27010103ae2ba352,23,215,190,75,True,goal_found,307.0,0.04429520003031939,3387,2296,pair,2295,1,306.0,1.0,1,2994,0.0008118001860566437,305,2296,0,394,False
study_maze_255_braid_opt,sfbds_f2e,150,2,maze,255,255,0.3720415224913495,24192,27010103ae2ba352,23,215,190,75,True,goal_found,307.0,0.04727939999429509,3427,2336,pair,2335,1,306.0,1.0,1,3034,0.002215800399426371,305,2336,0,394,False
study_maze_255_braid_opt,astar,150,3,maze,255,255,0.3720415224913495,24192,abb8a305cad02ce9,85,72,189,230,True,goal_found,262.0,0.006422499951440841,943,616,state,,,,,,882,0.00021890021162107587,204,616,0,62,False
study_maze_255_braid_opt,sfbds_f2f,150,3,maze,255,255,0.3720415224913495,24192,abb8a305cad02ce9,85,72,189,230,True,goal_found,262.0,0.012209700013045222,942,616,pair,615,1,261.0,1.0,2,881,0.00023719982709735632,203,616,0,62,False
study_maze_255_braid_opt,sfbds_f2e,150,3,maze,255,255,0.3720415224913495,24192,abb8a305cad02ce9,85,72,189,230,True,goal_found,262.0,0.012073800025973469,942,616,pair,615,1,261.0,1.0,2,881,0.0006212002481333911,203,616,0,62,False
study_maze_255_braid_opt,astar,150,4,maze,255,255,0.3720415224913495,24192,6ebbe14b83bf28b9,238,212,113,239,True,goal_found,160.0,0.013416600006166846,1960,1368,state,,,,,,1736,0.0004339003935456276,151,1368,186,225,False
study_maze_255_braid_opt,sfbds_f2f,150,4,maze,255,255,0.3720415224913495,24192,6ebbe14b83bf28b9,238,212,113,239,True,goal_found,160.0,0.02609580004354939,1960,1368,pair,1368,0,160.0,0.0,0,1736,0.0004850004334002733,151,1368,186,225,False
study_maze_255_braid_opt,sfbds_f2e,150,4,maze,255,255,0.3720415224913495,24192,6ebbe14b83bf28b9,238,212,113,239,True,goal_found,160.0,0.026667699974495918,1960,1368,pair,1368,0,160.0,0.0,0,1736,0.0013031000853516161,151,1368,186,225,False
study_maze_255_braid_opt,astar,150,5,maze,255,255,0.3720415224913495,24192,ce84acd4065bc315,192,101,13,235,True,goal_found,313.0,0.007495100027881563,1097,736,state,,,,,,1026,0.00025839998852461576,218,736,0,72,False
study_maze_255_braid_opt,sfbds_f2f,150,5,maze,255,255,0.3720415224913495,24192,ce84acd4065bc315,192,101,13,235,True,goal_found,313.0,0.013701399962883443,1097,736,pair,736,0,313.0,0.0,0,1026,0.00027240009512752295,218,736,0,72,False
study_maze_255_braid_opt,sfbds_f2e,150,5,maze,255,255,0.3720415224913495,24192,ce84acd4065bc315,192,101,13,235,True,goal_found,313.0,0.014215300034265965,1097,736,pair,736,0,313.0,0.0,0,1026,0.0007706998731009662,218,736,0,72,False
study_maze_255_braid_opt,astar,150,6,maze,255,255,0.3720415224913495,24192,2db928ff75dbc1b6,211,205,35,208,True,goal_found,209.0,0.028849199996329844,3731,2610,state,,,,,,3229,0.0008821995579637587,180,2610,422,503,False
study_maze_255_braid_opt,sfbds_f2f,150,6,maze,255,255,0.3720415224913495,24192,2db928ff75dbc1b6,211,205,35,208,True,goal_found,209.0,0.09396309999283403,6656,4635,pair,4626,9,206.0,3.0,12,5764,0.002009898191317916,322,4635,690,893,False
study_maze_255_braid_opt,sfbds_f2e,150,6,maze,255,255,0.3720415224913495,24192,2db928ff75dbc1b6,211,205,35,208,True,goal_found,209.0,0.100198200030718,7454,5220,pair,5211,9,206.0,3.0,12,6446,0.004416701092850417,332,5199,843,1009,False
study_maze_255_braid_opt,astar,150,7,maze,255,255,0.3720569011918493,24193,b8549d6380647de8,212,34,125,95,True,goal_found,150.0,0.02223010000307113,3099,2156,state,,,,,,2725,0.000662999867927283,195,2156,0,375,False
study_maze_255_braid_opt,sfbds_f2f,150,7,maze,255,255,0.3720569011918493,24193,b8549d6380647de8,212,34,125,95,True,goal_found,150.0,0.04344530001981184,3099,2156,pair,2156,0,150.0,0.0,0,2725,0.0007532996824011207,195,2156,0,375,False
study_maze_255_braid_opt,sfbds_f2e,150,7,maze,255,255,0.3720569011918493,24193,b8549d6380647de8,212,34,125,95,True,goal_found,150.0,0.04393590003019199,3099,2156,pair,2156,0,150.0,0.0,0,2725,0.0022385987685993314,195,2156,0,375,False
study_maze_255_braid_opt,astar,150,8,maze,255,255,0.3720722798923491,24194,15b70d1d07308482,242,22,174,76,True,goal_found,122.0,0.003415799990762025,513,346,state,,,,,,480,0.00011920003453269601,100,346,0,34,False
study_maze_255_braid_opt,sfbds_f2f,150,8,maze,255,255,0.3720722798923491,24194,15b70d1d07308482,242,22,174,76,True,goal_found,122.0,0.00676360004581511,513,346,pair,346,0,122.0,0.0,0,480,0.00014009966980665922,100,346,0,34,False
study_maze_255_braid_opt,sfbds_f2e,150,8,maze,255,255,0.3720722798923491,24194,15b70d1d07308482,242,22,174,76,True,goal_found,122.0,0.007500500010792166,513,346,pair,346,0,122.0,0.0,0,480,0.0003827991895377636,100,346,0,34,False
study_maze_255_braid_opt,astar,150,9,maze,255,255,0.3720415224913495,24192,8eba40262494ccc2,123,88,32,3,True,goal_found,176.0,0.0037437999853864312,606,397,state,,,,,,570,0.00012580037582665682,136,397,0,37,False
study_maze_255_braid_opt,sfbds_f2f,150,9,maze,255,255,0.3720415224913495,24192,8eba40262494ccc2,123,88,32,3,True,goal_found,176.0,0.007446200004778802,605,397,pair,396,1,175.0,1.0,2,569,0.00014519988326355815,135,397,0,37,False
study_maze_255_braid_opt,sfbds_f2e,150,9,maze,255,255,0.3720415224913495,24192,8eba40262494ccc2,123,88,32,3,True,goal_found,176.0,0.008897899999283254,605,397,pair,396,1,175.0,1.0,2,569,0.0004624003195203841,135,397,0,37,False
study_maze_255_braid_opt,astar,150,10,maze,255,255,0.3720569011918493,24193,68c8d44379f093bf,14,27,205,36,True,goal_found,234.0,0.03471420001005754,5302,3760,state,,,,,,4588,0.0011735997395589948,182,3760,575,715,False
study_maze_255_braid_opt,sfbds_f2f,150,10,maze,255,255,0.3720569011918493,24193,68c8d44379f093bf,14,27,205,36,True,goal_found,234.0,0.4245973999495618,25458,18034,pair,17908,126,233.0,1.0,140,22180,0.006124600651673973,1133,18034,2273,3279,False
study_maze_255_braid_opt,sfbds_f2e,150,10,maze,255,255,0.3720569011918493,24193,68c8d44379f093bf,14,27,205,36,True,goal_found,234.0,1.4272301999735646,95240,68799,pair,68671,128,233.0,1.0,94,78093,0.05982540675904602,1674,38015,6809,17148,False
study_maze_255_braid_opt,astar,150,11,maze,255,255,0.3720415224913495,24192,f3f8b8e26c906806,254,218,151,7,True,goal_found,314.0,0.027877199987415224,4072,2801,state,,,,,,3608,0.000823400157969445,342,2801,0,465,False
study_maze_255_braid_opt,sfbds_f2f,150,11,maze,255,255,0.3720415224913495,24192,f3f8b8e26c906806,254,218,151,7,True,goal_found,314.0,0.05519609997281805,4072,2801,pair,2801,0,314.0,0.0,0,3608,0.0010515007888898253,342,2801,0,465,False
study_maze_255_braid_opt,sfbds_f2e,150,11,maze,255,255,0.3720415224913495,24192,f3f8b8e26c906806,254,218,151,7,True,goal_found,314.0,0.05703979998361319,4072,2801,pair,2801,0,314.0,0.0,0,3608,0.002612700394820422,342,2801,0,465,False
study_maze_255_braid_opt,astar,150,12,maze,255,255,0.3720415224913495,24192,eda0a517f7f45fa8,165,246,116,43,True,goal_found,256.0,0.03335789998527616,5033,3516,state,,,,,,4396,0.0009779996471479535,279,3516,613,638,False
study_maze_255_braid_opt,sfbds_f2f,150,12,maze,255,255,0.3720415224913495,24192,eda0a517f7f45fa8,165,246,116,43,True,goal_found,256.0,0.13207069999771193,9750,6736,pair,6735,1,255.0,1.0,2,8500,0.0023383997613564134,538,6736,613,1251,False
study_maze_255_braid_opt,sfbds_f2e,150,12,maze,255,255,0.3720415224913495,24192,eda0a517f7f45fa8,165,246,116,43,True,goal_found,256.0,0.1515526999719441,10688,7654,pair,7653,1,255.0,1.0,2,9411,0.0066134994849562645,529,7041,613,1278,False
study_maze_255_braid_opt,astar,150,13,maze,255,255,0.3720569011918493,24193,096c9723d332d070,57,8,197,76,True,goal_found,208.0,0.01274770003510639,1901,1301,state,,,,,,1693,0.00039739959174767137,183,1301,0,209,False
study_maze_255_braid_opt,sfbds_f2f,150,13,maze,255,255,0.3720569011918493,24193,096c9723d332d070,57,8,197,76,True,goal_found,208.0,0.025367000023834407,1900,1301,pair,1296,5,203.0,5.0,2,1692,0.0005122004658915102,182,1301,0,209,False
study_maze_255_braid_opt,sfbds_f2e,150,13,maze,255,255,0.3720569011918493,24193,096c9723d332d070,57,8,197,76,True,goal_found,208.0,0.025293800048530102,1900,1301,pair,1296,5,203.0,5.0,2,1692,0.001213399926200509,182,1301,0,209,False
study_maze_255_braid_opt,astar,150,14,maze,255,255,0.3720722798923491,24194,4ef4a844e6f84e0f,114,50,198,142,True,goal_found,176.0,0.005600400036200881,821,545,state,,,,,,749,0.000186400196980685,131,545,0,73,False
study_maze_255_braid_opt,sfbds_f2f,150,14,maze,255,255,0.3720722798923491,24194,4ef4a844e6f84e0f,114,50,198,142,True,goal_found,176.0,0.01074139995034784,821,545,pair,545,0,176.0,0.0,0,749,0.00026130006881430745,131,545,0,73,False
study_maze_255_braid_opt,sfbds_f2e,150,14,maze,255,255,0.3720722798923491,24194,4ef4a844e6f84e0f,114,50,198,142,True,goal_found,176.0,0.010852499981410801,821,545,pair,545,0,176.0,0.0,0,749,0.0006236006156541407,131,545,0,73,False
study_maze_255_braid_opt,astar,150,15,maze,255,255,0.3720569011918493,24193,1a3dbc8433953c0f,236,73,30,4,True,goal_found,279.0,0.03645199997117743,5058,3589,state,,,,,,4425,0.001051299157552421,239,3589,605,634,False
study_maze_255_braid_opt,sfbds_f2f,150,15,maze,255,255,0.3720569011918493,24193,1a3dbc8433953c0f,236,73,30,4,True,goal_found,279.0,0.06913119996897876,5058,3589,pair,3589,0,279.0,0.0,0,4425,0.0011477996013127267,239,3589,605,634,False
study_maze_255_braid_opt,sfbds_f2e,150,15,maze,255,255,0.3720569011918493,24193,1a3dbc8433953c0f,236,73,30,4,True,goal_found,279.0,0.073978399974294,5058,3589,pair,3589,0,279.0,0.0,0,4425,0.0032124011777341366,239,3589,605,634,False
study_maze_255_braid_opt,astar,150,16,maze,255,255,0.3720415224913495,24192,ebb920c32aa4342f,195,69,246,241,True,goal_found,225.0,0.017129199986811727,2600,1792,state,,,,,,2325,0.0005365001270547509,273,1792,255,276,False
study_maze_255_braid_opt,sfbds_f2f,150,16,maze,255,255,0.3720415224913495,24192,ebb920c32aa4342f,195,69,246,241,True,goal_found,225.0,0.07388570002513006,3616,2522,pair,0,2522,0.0,225.0,0,3192,0.0014136999379843473,255,2522,0,425,False
