experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_open_128,astar,100,0,open,128,128,0.0,0,a5c62e706c2aa56b,37,117,116,44,True,goal_found,152.0,0.032125000027008355,457,152,state,,,,,,457,0.0014636998530477285,305,152,0,1,False
study_open_128,sfbds_f2f,100,0,open,128,128,0.0,0,a5c62e706c2aa56b,37,117,116,44,True,goal_found,152.0,0.05054199998266995,457,152,pair,152,0,152.0,0.0,0,457,0.001421200402546674,305,152,0,1,False
study_open_128,sfbds_f2e,100,0,open,128,128,0.0,0,a5c62e706c2aa56b,37,117,116,44,True,goal_found,152.0,0.05441449995851144,457,152,pair,152,0,152.0,0.0,0,457,0.004577699059154838,305,152,0,1,False
study_open_128,astar,100,1,open,128,128,0.0,0,2b1f432ec5bd1529,100,89,110,28,True,goal_found,71.0,0.011376100010238588,214,71,state,,,,,,214,0.0005058000097051263,143,71,0,1,False
study_open_128,sfbds_f2f,100,1,open,128,128,0.0,0,2b1f432ec5bd1529,100,89,110,28,True,goal_found,71.0,0.017930100031662732,214,71,pair,71,0,71.0,0.0,0,214,0.0005625997437164187,143,71,0,1,False
study_open_128,sfbds_f2e,100,1,open,128,128,0.0,0,2b1f432ec5bd1529,100,89,110,28,True,goal_found,71.0,0.01862799999071285,214,71,pair,71,0,71.0,0.0,0,214,0.0013218000531196594,143,71,0,1,False
study_open_128,astar,100,2,open,128,128,0.0,0,4c6c059d50f51687,31,20,116,67,True,goal_found,132.0,0.018002299999352545,397,132,state,,,,,,397,0.000979000236839056,265,132,0,1,False
study_open_128,sfbds_f2f,100,2,open,128,128,0.0,0,4c6c059d50f51687,31,20,116,67,True,goal_found,132.0,0.03397729998687282,397,132,pair,132,0,132.0,0.0,0,397,0.001125600072555244,265,132,0,1,False
study_open_128,sfbds_f2e,100,2,open,128,128,0.0,0,4c6c059d50f51687,31,20,116,67,True,goal_found,132.0,0.03582499996991828,397,132,pair,132,0,132.0,0.0,0,397,0.002798399713356048,265,132,0,1,False
study_open_128,astar,100,3,open,128,128,0.0,0,c25121785b9ebe0c,12,52,85,58,True,goal_found,79.0,0.015248999989125878,238,79,state,,,,,,238,0.0006222996162250638,159,79,0,1,False
study_open_128,sfbds_f2f,100,3,open,128,128,0.0,0,c25121785b9ebe0c,12,52,85,58,True,goal_found,79.0,0.029618200031109154,238,79,pair,79,0,79.0,0.0,0,238,0.000642899889498949,159,79,0,1,False
study_open_128,sfbds_f2e,100,3,open,128,128,0.0,0,c25121785b9ebe0c,12,52,85,58,True,goal_found,79.0,0.03209870000137016,238,79,pair,79,0,79.0,0.0,0,238,0.006146199884824455,159,79,0,1,False
study_open_128,astar,100,4,open,128,128,0.0,0,ef7cd971b92565b8,53,103,118,70,True,goal_found,98.0,0.02579310000874102,295,98,state,,,,,,295,0.0031343000009655952,197,98,0,1,False
study_open_128,sfbds_f2f,100,4,open,128,128,0.0,0,ef7cd971b92565b8,53,103,118,70,True,goal_found,98.0,0.05254090001108125,295,98,pair,98,0,98.0,0.0,0,295,0.0014827004633843899,197,98,0,1,False
study_open_128,sfbds_f2e,100,4,open,128,128,0.0,0,ef7cd971b92565b8,53,103,118,70,True,goal_found,98.0,0.04794880002737045,295,98,pair,98,0,98.0,0.0,0,295,0.002511799684725702,197,98,0,1,False
study_open_128,astar,100,5,open,128,128,0.0,0,361e482c72d19a81,96,41,31,46,True,goal_found,70.0,0.012281899980735034,211,70,state,,,,,,211,0.0004992004833184183,141,70,0,1,False
study_open_128,sfbds_f2f,100,5,open,128,128,0.0,0,361e482c72d19a81,96,41,31,46,True,goal_found,70.0,0.01894979999633506,211,70,pair,70,0,70.0,0.0,0,211,0.001506499422248453,141,70,0,1,False
study_open_128,sfbds_f2e,100,5,open,128,128,0.0,0,361e482c72d19a81,96,41,31,46,True,goal_found,70.0,0.022327099984977394,211,70,pair,70,0,70.0,0.0,0,211,0.0016870003310032189,141,70,0,1,False
study_open_128,astar,100,6,open,128,128,0.0,0,dfc232ef499c55bf,1,101,37,41,True,goal_found,96.0,0.012814899964723736,289,96,state,,,,,,289,0.0005884002894163132,193,96,0,1,False
study_open_128,sfbds_f2f,100,6,open,128,128,0.0,0,dfc232ef499c55bf,1,101,37,41,True,goal_found,96.0,0.021516299981158227,289,96,pair,96,0,96.0,0.0,0,289,0.0007742000743746758,193,96,0,1,False
study_open_128,sfbds_f2e,100,6,open,128,128,0.0,0,dfc232ef499c55bf,1,101,37,41,True,goal_found,96.0,0.023897700011730194,289,96,pair,96,0,96.0,0.0,0,289,0.002093299583066255,193,96,0,1,False
study_open_128,astar,100,7,open,128,128,0.0,0,7a98b383a8f2b758,114,99,32,13,True,goal_found,168.0,0.026398300018627197,505,168,state,,,,,,504,0.0012387994793243706,336,168,0,2,False
