experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_open_128_opt,astar,100,0,open,128,128,0.0,0,a5c62e706c2aa56b,37,117,116,44,True,goal_found,152.0,0.0025390000082552433,457,152,state,,,,,,457,0.00011579971760511398,305,152,0,1,False
study_open_128_opt,sfbds_f2f,100,0,open,128,128,0.0,0,a5c62e706c2aa56b,37,117,116,44,True,goal_found,152.0,0.0041584999999031425,457,152,pair,152,0,152.0,0.0,0,457,0.00011569971684366465,305,152,0,1,False
study_open_128_opt,sfbds_f2e,100,0,open,128,128,0.0,0,a5c62e706c2aa56b,37,117,116,44,True,goal_found,152.0,0.005057499976828694,457,152,pair,152,0,152.0,0.0,0,457,0.0003781002596952021,305,152,0,1,False
study_open_128_opt,astar,100,1,open,128,128,0.0,0,2b1f432ec5bd1529,100,89,110,28,True,goal_found,71.0,0.0011192999663762748,214,71,state,,,,,,214,5.300022894516587e-05,143,71,0,1,False
study_open_128_opt,sfbds_f2f,100,1,open,128,128,0.0,0,2b1f432ec5bd1529,100,89,110,28,True,goal_found,71.0,0.0019365000189282,214,71,pair,71,0,71.0,0.0,0,214,5.8400153648108244e-05,143,71,0,1,False
study_open_128_opt,sfbds_f2e,100,1,open,128,128,0.0,0,2b1f432ec5bd1529,100,89,110,28,True,goal_found,71.0,0.0018791999900713563,214,71,pair,71,0,71.0,0.0,0,214,0.00014300021575763822,143,71,0,1,False
study_open_128_opt,astar,100,2,open,128,128,0.0,0,4c6c059d50f51687,31,20,116,67,True,goal_found,132.0,0.0017945999861694872,397,132,state,,,,,,397,9.020022116601467e-05,265,132,0,1,False
study_open_128_opt,sfbds_f2f,100,2,open,128,128,0.0,0,4c6c059d50f51687,31,20,116,67,True,goal_found,132.0,0.0035786000080406666,397,132,pair,132,0,132.0,0.0,0,397,0.00010540027869865298,265,132,0,1,False
study_open_128_opt,sfbds_f2e,100,2,open,128,128,0.0,0,4c6c059d50f51687,31,20,116,67,True,goal_found,132.0,0.0037628000136464834,397,132,pair,132,0,132.0,0.0,0,397,0.0002744999947026372,265,132,0,1,False
study_open_128_opt,astar,100,3,open,128,128,0.0,0,c25121785b9ebe0c,12,52,85,58,True,goal_found,79.0,0.0011579999700188637,238,79,state,,,,,,238,5.9000158216804266e-05,159,79,0,1,False
study_open_128_opt,sfbds_f2f,100,3,open,128,128,0.0,0,c25121785b9ebe0c,12,52,85,58,True,goal_found,79.0,0.0020152999786660075,238,79,pair,79,0,79.0,0.0,0,238,5.990004865452647e-05,159,79,0,1,False
study_open_128_opt,sfbds_f2e,100,3,open,128,128,0.0,0,c25121785b9ebe0c,12,52,85,58,True,goal_found,79.0,0.002083199971821159,238,79,pair,79,0,79.0,0.0,0,238,0.00015930004883557558,159,79,0,1,False
study_open_128_opt,astar,100,4,open,128,128,0.0,0,ef7cd971b92565b8,53,103,118,70,True,goal_found,98.0,0.00136160000693053,295,98,state,,,,,,295,7.110025035217404e-05,197,98,0,1,False
study_open_128_opt,sfbds_f2f,100,4,open,128,128,0.0,0,ef7cd971b92565b8,53,103,118,70,True,goal_found,98.0,0.0024859000113792717,295,98,pair,98,0,98.0,0.0,0,295,7.399992318823934e-05,197,98,0,1,False
study_open_128_opt,sfbds_f2e,100,4,open,128,128,0.0,0,ef7cd971b92565b8,53,103,118,70,True,goal_found,98.0,0.002571400022134185,295,98,pair,98,0,98.0,0.0,0,295,0.00019679981051012874,197,98,0,1,False
study_open_128_opt,astar,100,5,open,128,128,0.0,0,361e482c72d19a81,96,41,31,46,True,goal_found,70.0,0.0009512999677099288,211,70,state,,,,,,211,4.9000256694853306e-05,141,70,0,1,False
study_open_128_opt,sfbds_f2f,100,5,open,128,128,0.0,0,361e482c72d19a81,96,41,31,46,True,goal_found,70.0,0.001852500019595027,211,70,pair,70,0,70.0,0.0,0,211,5.600007716566324e-05,141,70,0,1,False
study_open_128_opt,sfbds_f2e,100,5,open,128,128,0.0,0,361e482c72d19a81,96,41,31,46,True,goal_found,70.0,0.0018742000102065504,211,70,pair,70,0,70.0,0.0,0,211,0.00016529974527657032,141,70,0,1,False
study_open_128_opt,astar,100,6,open,128,128,0.0,0,dfc232ef499c55bf,1,101,37,41,True,goal_found,96.0,0.0013588000438176095,289,96,state,,,,,,289,6.969989044591784e-05,193,96,0,1,False
study_open_128_opt,sfbds_f2f,100,6,open,128,128,0.0,0,dfc232ef499c55bf,1,101,37,41,True,goal_found,96.0,0.0025284000439569354,289,96,pair,96,0,96.0,0.0,0,289,7.540005026385188e-05,193,96,0,1,False
study_open_128_opt,sfbds_f2e,100,6,open,128,128,0.0,0,dfc232ef499c55bf,1,101,37,41,True,goal_found,96.0,0.002591900003608316,289,96,pair,96,0,96.0,0.0,0,289,0.0002008996671065688,193,96,0,1,False
study_open_128_opt,astar,100,7,open,128,128,0.0,0,7a98b383a8f2b758,114,99,32,13,True,goal_found,168.0,0.0023449999862350523,505,168,state,,,,,,504,0.00011029961751773953,336,168,0,2,False
study_open_128_opt,sfbds_f2f,100,7,open,128,128,0.0,0,7a98b383a8f2b758,114,99,32,13,True,goal_found,168.0,0.00458989996695891,505,168,pair,168,0,168.0,0.0,0,504,0.000145500001963228,336,168,0,2,False
study_open_128_opt,sfbds_f2e,100,7,open,128,128,0.0,0,7a98b383a8f2b758,114,99,32,13,True,goal_found,168.0,0.00458700000308454,505,168,pair,168,0,168.0,0.0,0,504,0.00033730012364685535,336,168,0,2,False
study_open_128_opt,astar,100,8,open,128,128,0.0,0,07d03a2b8343e508,92,123,102,15,True,goal_found,118.0,0.001601099967956543,355,118,state,,,,,,355,8.120009442791343e-05,237,118,0,1,False
study_open_128_opt,sfbds_f2f,100,8,open,128,128,0.0,0,07d03a2b8343e508,92,123,102,15,True,goal_found,118.0,0.0029772999696433544,355,118,pair,118,0,118.0,0.0,0,355,8.920015534386039e-05,237,118,0,1,False
study_open_128_opt,sfbds_f2e,100,8,open,128,128,0.0,0,07d03a2b8343e508,92,123,102,15,True,goal_found,118.0,0.0031775000388734043,355,118,pair,118,0,118.0,0.0,0,355,0.000240099907387048,237,118,0,1,False
study_open_128_opt,astar,100,9,open,128,128,0.0,0,260fe7d6d2bca4df,25,76,111,64,True,goal_found,98.0,0.0013289000489749014,295,98,state,,,,,,295,7.400003960356116e-05,197,98,0,1,False
study_open_128_opt,sfbds_f2f,100,9,open,128,128,0.0,0,260fe7d6d2bca4df,25,76,111,64,True,goal_found,98.0,0.0025438999873586,295,98,pair,98,0,98.0,0.0,0,295,7.950002327561378e-05,197,98,0,1,False
study_open_128_opt,sfbds_f2e,100,9,open,128,128,0.0,0,260fe7d6d2bca4df,25,76,111,64,True,goal_found,98.0,0.0027808999875560403,295,98,pair,98,0,98.0,0.0,0,295,0.00021489971550181508,197,98,0,1,False
study_open_128_opt,astar,100,10,open,128,128,0.0,0,78d62db202f1adb2,61,111,126,65,True,goal_found,111.0,0.0014710999676026404,334,111,state,,,,,,334,8.100020932033658e-05,223,111,0,1,False
study_open_128_opt,sfbds_f2f,100,10,open,128,128,0.0,0,78d62db202f1adb2,61,111,126,65,True,goal_found,111.0,0.0030614000279456377,334,111,pair,111,0,111.0,0.0,0,334,9.319977834820747e-05,223,111,0,1,False
study_open_128_opt,sfbds_f2e,100,10,open,128,128,0.0,0,78d62db202f1adb2,61,111,126,65,True,goal_found,111.0,0.003031000029295683,334,111,pair,111,0,111.0,0.0,0,334,0.0002274002181366086,223,111,0,1,False
study_open_128_opt,astar,100,11,open,128,128,0.0,0,dd51c57302ed99c5,37,14,83,42,True,goal_found,74.0,0.001471600029617548,223,74,state,,,,,,223,8.339987834915519e-05,149,74,0,1,False
study_open_128_opt,sfbds_f2f,100,11,open,128,128,0.0,0,dd51c57302ed99c5,37,14,83,42,True,goal_found,74.0,0.0020598999690264463,223,74,pair,74,0,74.0,0.0,0,223,7.120001828297973e-05,149,74,0,1,False
study_open_128_opt,sfbds_f2e,100,11,open,128,128,0.0,0,dd51c57302ed99c5,37,14,83,42,True,goal_found,74.0,0.0026116000371985137,223,74,pair,74,0,74.0,0.0,0,223,0.00017759972251951694,149,74,0,1,False
study_open_128_opt,astar,100,12,open,128,128,0.0,0,8545fdada1b80f27,13,70,30,12,True,goal_found,75.0,0.0010842999909073114,226,75,state,,,,,,226,5.5299780797213316e-05,151,75,0,1,False
