experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_random_128_d45_md48_opt,astar,221,0,random_obstacles,128,128,0.449951171875,7372,798366d24334f0d3,123,61,99,86,True,goal_found,55.0,0.0012866000179201365,230,146,state,,,,,,176,4.8699905164539814e-05,31,146,8,55,False
study_random_128_d45_md48_opt,sfbds_f2f,221,0,random_obstacles,128,128,0.449951171875,7372,798366d24334f0d3,123,61,99,86,True,goal_found,55.0,0.0021145999780856073,166,101,pair,0,101,0.0,55.0,0,142,4.429981345310807e-05,36,101,0,25,False
study_random_128_d45_md48_opt,sfbds_f2e,221,0,random_obstacles,128,128,0.449951171875,7372,798366d24334f0d3,123,61,99,86,True,goal_found,55.0,0.0019580000080168247,166,101,pair,0,101,0.0,55.0,0,142,0.00011020025704056025,36,101,0,25,False
study_random_128_d45_md48_opt,astar,221,0,random_obstacles,128,128,0.47491455078125,7781,20c3baecba44695c,123,61,99,86,True,goal_found,55.0,0.0012926000053994358,216,140,state,,,,,,166,4.480016650632024e-05,29,140,8,51,False
study_random_128_d45_md48_opt,sfbds_f2f,221,0,random_obstacles,128,128,0.47491455078125,7781,20c3baecba44695c,123,61,99,86,True,goal_found,55.0,0.0017378999618813396,150,96,pair,0,96,0.0,55.0,0,133,3.5799865145236254e-05,33,96,0,18,False
study_random_128_d45_md48_opt,sfbds_f2e,221,0,random_obstacles,128,128,0.47491455078125,7781,20c3baecba44695c,123,61,99,86,True,goal_found,55.0,0.0017712999833747745,150,96,pair,0,96,0.0,55.0,0,133,9.679998038336635e-05,33,96,0,18,False
study_random_128_d45_md48_opt,astar,221,0,random_obstacles,128,128,0.49993896484375,8191,16ee8f6612af6100,123,61,99,86,True,goal_found,57.0,0.0011129999766126275,194,134,state,,,,,,151,3.840011777356267e-05,22,134,5,44,False
study_random_128_d45_md48_opt,sfbds_f2f,221,0,random_obstacles,128,128,0.49993896484375,8191,16ee8f6612af6100,123,61,99,86,True,goal_found,57.0,0.0018974000122398138,153,106,pair,0,106,0.0,57.0,0,133,3.650016151368618e-05,25,106,2,21,False
study_random_128_d45_md48_opt,sfbds_f2e,221,0,random_obstacles,128,128,0.49993896484375,8191,16ee8f6612af6100,123,61,99,86,True,goal_found,57.0,0.002105099963955581,153,106,pair,0,106,0.0,57.0,0,133,0.00010889989789575338,25,106,2,21,False
study_random_128_d45_md48_opt,astar,221,1,random_obstacles,128,128,0.449951171875,7372,8b1b7438d5cc6a00,73,0,47,25,True,goal_found,69.0,0.0012808000319637358,215,138,state,,,,,,174,4.559982335194945e-05,34,138,2,42,False
study_random_128_d45_md48_opt,sfbds_f2f,221,1,random_obstacles,128,128,0.449951171875,7372,8b1b7438d5cc6a00,73,0,47,25,True,goal_found,69.0,0.005343900003936142,453,322,pair,189,133,63.0,6.0,59,363,9.600014891475439e-05,39,322,2,91,False
study_random_128_d45_md48_opt,sfbds_f2e,221,1,random_obstacles,128,128,0.449951171875,7372,8b1b7438d5cc6a00,73,0,47,25,True,goal_found,69.0,0.010297800006810576,834,576,pair,434,142,63.0,6.0,53,650,0.00046510022366419435,63,568,8,185,False
study_random_128_d45_md48_opt,astar,221,1,random_obstacles,128,128,0.47491455078125,7781,12cdc6e24c0a58f5,73,0,47,25,True,goal_found,69.0,0.001501200022175908,192,130,state,,,,,,161,5.8600096963346004e-05,31,130,0,32,False
study_random_128_d45_md48_opt,sfbds_f2f,221,1,random_obstacles,128,128,0.47491455078125,7781,12cdc6e24c0a58f5,73,0,47,25,True,goal_found,69.0,0.0036795000196434557,297,217,pair,144,73,63.0,6.0,23,252,7.209990872070193e-05,33,217,1,46,False
study_random_128_d45_md48_opt,sfbds_f2e,221,1,random_obstacles,128,128,0.47491455078125,7781,12cdc6e24c0a58f5,73,0,47,25,True,goal_found,69.0,0.007446100004017353,572,415,pair,325,90,63.0,6.0,25,470,0.00033239967888221145,42,364,10,103,False
study_random_128_d45_md48_opt,astar,221,1,random_obstacles,128,128,0.49993896484375,8191,57092edd83dd98fe,73,0,47,25,True,goal_found,69.0,0.0011180000146850944,180,127,state,,,,,,152,3.7999823689460754e-05,25,127,0,29,False
study_random_128_d45_md48_opt,sfbds_f2f,221,1,random_obstacles,128,128,0.49993896484375,8191,57092edd83dd98fe,73,0,47,25,True,goal_found,69.0,0.0026131999911740422,209,154,pair,139,15,63.0,6.0,7,175,4.880008054897189e-05,21,154,0,35,False
study_random_128_d45_md48_opt,sfbds_f2e,221,1,random_obstacles,128,128,0.49993896484375,8191,57092edd83dd98fe,73,0,47,25,True,goal_found,69.0,0.002868100011255592,209,154,pair,139,15,63.0,6.0,7,175,0.0001353996922262013,21,154,0,35,False
study_random_128_d45_md48_opt,astar,221,2,random_obstacles,128,128,0.449951171875,7372,eab3b93bda4d8183,97,67,108,106,True,goal_found,64.0,0.0016279999981634319,263,192,state,,,,,,224,6.049993680790067e-05,31,192,5,40,False
study_random_128_d45_md48_opt,sfbds_f2f,221,2,random_obstacles,128,128,0.449951171875,7372,eab3b93bda4d8183,97,67,108,106,True,goal_found,64.0,0.002395999967120588,200,129,pair,0,129,0.0,64.0,0,168,4.7299894504249096e-05,28,129,11,33,False
study_random_128_d45_md48_opt,sfbds_f2e,221,2,random_obstacles,128,128,0.449951171875,7372,eab3b93bda4d8183,97,67,108,106,True,goal_found,64.0,0.0026896000490523875,200,129,pair,0,129,0.0,64.0,0,168,0.0001380997127853334,28,129,11,33,False
study_random_128_d45_md48_opt,astar,221,2,random_obstacles,128,128,0.47491455078125,7781,f00ae216d822ecb7,97,67,108,106,True,goal_found,66.0,0.0016463000210933387,255,188,state,,,,,,219,5.6600081734359264e-05,26,188,5,37,False
study_random_128_d45_md48_opt,sfbds_f2f,221,2,random_obstacles,128,128,0.47491455078125,7781,f00ae216d822ecb7,97,67,108,106,True,goal_found,66.0,0.0029590000049211085,217,147,pair,0,147,0.0,66.0,0,170,6.0499878600239754e-05,24,147,8,48,False
study_random_128_d45_md48_opt,sfbds_f2e,221,2,random_obstacles,128,128,0.47491455078125,7781,f00ae216d822ecb7,97,67,108,106,True,goal_found,66.0,0.0026419999776408076,217,147,pair,0,147,0.0,66.0,0,170,0.00012769963359460235,24,147,8,48,False
study_random_128_d45_md48_opt,astar,221,2,random_obstacles,128,128,0.49993896484375,8191,bc80b3076c2469ba,97,67,108,106,True,goal_found,68.0,0.0013109000283293426,197,157,state,,,,,,181,4.6299886889755726e-05,24,157,0,17,False
study_random_128_d45_md48_opt,sfbds_f2f,221,2,random_obstacles,128,128,0.49993896484375,8191,bc80b3076c2469ba,97,67,108,106,True,goal_found,68.0,0.005053900007624179,335,278,pair,271,7,63.0,5.0,5,305,0.00014610018115490675,30,278,0,31,False
study_random_128_d45_md48_opt,sfbds_f2e,221,2,random_obstacles,128,128,0.49993896484375,8191,bc80b3076c2469ba,97,67,108,106,True,goal_found,68.0,0.004795200016815215,337,281,pair,274,7,63.0,5.0,5,307,0.00022769992938265204,30,281,0,31,False
