experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_random_64,astar,110,0,random_obstacles,64,64,0.099853515625,409,a6e1f60683b6fe91,49,31,52,61,True,goal_found,33.0,0.0029755000141449273,90,33,state,,,,,,89,0.0001565002603456378,56,33,0,2,False
study_random_64,sfbds_f2f,110,0,random_obstacles,64,64,0.099853515625,409,a6e1f60683b6fe91,49,31,52,61,True,goal_found,33.0,0.022324300021864474,226,83,pair,0,83,0.0,33.0,0,179,0.000536600302439183,57,83,0,48,False
study_random_64,sfbds_f2e,110,0,random_obstacles,64,64,0.099853515625,409,a6e1f60683b6fe91,49,31,52,61,True,goal_found,33.0,0.017606700013857335,226,83,pair,0,83,0.0,33.0,0,179,0.0018161001498810947,57,83,0,48,False
study_random_64,astar,110,0,random_obstacles,64,64,0.199951171875,819,34d34f69a0b336d7,49,31,52,61,True,goal_found,37.0,0.013311100017745048,156,65,state,,,,,,116,0.00032719975570216775,47,65,1,41,False
study_random_64,sfbds_f2f,110,0,random_obstacles,64,64,0.199951171875,819,34d34f69a0b336d7,49,31,52,61,True,goal_found,37.0,0.021866000024601817,253,109,pair,0,109,0.0,37.0,0,188,0.000536200066562742,52,109,13,66,False
study_random_64,sfbds_f2e,110,0,random_obstacles,64,64,0.199951171875,819,34d34f69a0b336d7,49,31,52,61,True,goal_found,37.0,0.019356900011189282,253,109,pair,0,109,0.0,37.0,0,188,0.001204700325615704,52,109,13,66,False
study_random_64,astar,110,0,random_obstacles,64,64,0.2998046875,1228,648a5f657bb3bb83,49,31,52,61,True,goal_found,47.0,0.00982159998966381,210,116,state,,,,,,163,0.00035759987076744437,42,116,1,48,False
study_random_64,sfbds_f2f,110,0,random_obstacles,64,64,0.2998046875,1228,648a5f657bb3bb83,49,31,52,61,True,goal_found,47.0,0.0464528999873437,574,291,pair,0,291,0.0,47.0,0,354,0.0009206005488522351,40,291,20,221,False
study_random_64,sfbds_f2e,110,0,random_obstacles,64,64,0.2998046875,1228,648a5f657bb3bb83,49,31,52,61,True,goal_found,47.0,0.04099889995995909,574,291,pair,0,291,0.0,47.0,0,354,0.002330900402739644,40,291,20,221,False
study_random_64,astar,110,1,random_obstacles,64,64,0.099853515625,409,366619d3b679f1c2,35,9,53,40,True,goal_found,49.0,0.004193199973087758,136,50,state,,,,,,133,0.00022360036382451653,83,50,0,4,False
study_random_64,sfbds_f2f,110,1,random_obstacles,64,64,0.099853515625,409,366619d3b679f1c2,35,9,53,40,True,goal_found,49.0,0.01028379995841533,136,50,pair,50,0,49.0,0.0,0,133,0.0004426004597917199,83,50,0,4,False
study_random_64,sfbds_f2e,110,1,random_obstacles,64,64,0.099853515625,409,366619d3b679f1c2,35,9,53,40,True,goal_found,49.0,0.012511499982792884,136,50,pair,50,0,49.0,0.0,0,133,0.0013950001448392868,83,50,0,4,False
study_random_64,astar,110,1,random_obstacles,64,64,0.199951171875,819,af80d44caf20982a,35,9,53,40,True,goal_found,49.0,0.009892100002616644,184,76,state,,,,,,158,0.00032929988810792565,69,76,0,27,False
study_random_64,sfbds_f2f,110,1,random_obstacles,64,64,0.199951171875,819,af80d44caf20982a,35,9,53,40,True,goal_found,49.0,0.07055259996559471,788,336,pair,329,7,43.0,6.0,3,593,0.0020092998165637255,145,336,0,196,False
study_random_64,sfbds_f2e,110,1,random_obstacles,64,64,0.199951171875,819,af80d44caf20982a,35,9,53,40,True,goal_found,49.0,0.08521600003587082,893,385,pair,378,7,43.0,6.0,3,664,0.008431400288827717,153,385,0,230,False
study_random_64,astar,110,1,random_obstacles,64,64,0.2998046875,1228,c139fde381c2b06d,35,9,53,40,True,goal_found,51.0,0.00987650000024587,157,80,state,,,,,,136,0.0003203001106157899,50,80,0,22,False
study_random_64,sfbds_f2f,110,1,random_obstacles,64,64,0.2998046875,1228,c139fde381c2b06d,35,9,53,40,True,goal_found,51.0,0.03154659998835996,329,184,pair,170,14,43.0,8.0,5,287,0.0008126000757329166,92,184,0,43,False
study_random_64,sfbds_f2e,110,1,random_obstacles,64,64,0.2998046875,1228,c139fde381c2b06d,35,9,53,40,True,goal_found,51.0,0.04156520002288744,410,220,pair,206,14,43.0,8.0,5,340,0.0024842002894729376,99,220,0,71,False
study_random_64,astar,110,2,random_obstacles,64,64,0.099853515625,409,a5bdff21471c4dcf,56,54,20,38,True,goal_found,52.0,0.008135900017805398,172,63,state,,,,,,159,0.00041250005597248673,87,63,0,14,False
study_random_64,sfbds_f2f,110,2,random_obstacles,64,64,0.099853515625,409,a5bdff21471c4dcf,56,54,20,38,True,goal_found,52.0,0.019917000026907772,172,63,pair,63,0,52.0,0.0,0,159,0.00046780030243098736,87,63,0,14,False
study_random_64,sfbds_f2e,110,2,random_obstacles,64,64,0.099853515625,409,a5bdff21471c4dcf,56,54,20,38,True,goal_found,52.0,0.017293800017796457,172,63,pair,63,0,52.0,0.0,0,159,0.0021475000539794564,87,63,0,14,False
study_random_64,astar,110,2,random_obstacles,64,64,0.199951171875,819,0b9a4d88ab66cac4,56,54,20,38,True,goal_found,52.0,0.006690400012303144,140,64,state,,,,,,127,0.00039469992043450475,62,64,0,14,False
study_random_64,sfbds_f2f,110,2,random_obstacles,64,64,0.199951171875,819,0b9a4d88ab66cac4,56,54,20,38,True,goal_found,52.0,0.012697199999820441,140,64,pair,64,0,52.0,0.0,0,127,0.00034280004911124706,62,64,0,14,False
study_random_64,sfbds_f2e,110,2,random_obstacles,64,64,0.199951171875,819,0b9a4d88ab66cac4,56,54,20,38,True,goal_found,52.0,0.009659599978476763,140,64,pair,64,0,52.0,0.0,0,127,0.0007225002627819777,62,64,0,14,False
study_random_64,astar,110,2,random_obstacles,64,64,0.2998046875,1228,6e1727bcbc2a458a,56,54,20,38,True,goal_found,56.0,0.018614400003571063,440,233,state,,,,,,309,0.000619799830019474,48,233,32,132,False
study_random_64,sfbds_f2f,110,2,random_obstacles,64,64,0.2998046875,1228,6e1727bcbc2a458a,56,54,20,38,True,goal_found,56.0,0.03765340003883466,440,233,pair,233,0,56.0,0.0,0,309,0.0007939001079648733,48,233,32,132,False
study_random_64,sfbds_f2e,110,2,random_obstacles,64,64,0.2998046875,1228,6e1727bcbc2a458a,56,54,20,38,True,goal_found,56.0,0.04212459997506812,440,233,pair,233,0,56.0,0.0,0,309,0.002065299777314067,48,233,32,132,False
study_random_64,astar,110,3,random_obstacles,64,64,0.099853515625,409,0cc94de9714a920b,13,52,58,35,True,goal_found,62.0,0.010625199996866286,222,84,state,,,,,,200,0.00039710005512461066,102,84,0,23,False
study_random_64,sfbds_f2f,110,3,random_obstacles,64,64,0.099853515625,409,0cc94de9714a920b,13,52,58,35,True,goal_found,62.0,0.016470600035972893,222,84,pair,84,0,62.0,0.0,0,200,0.0009246999979950488,102,84,0,23,False
study_random_64,sfbds_f2e,110,3,random_obstacles,64,64,0.099853515625,409,0cc94de9714a920b,13,52,58,35,True,goal_found,62.0,0.0245411999640055,222,84,pair,84,0,62.0,0.0,0,200,0.001429600000847131,102,84,0,23,False
study_random_64,astar,110,3,random_obstacles,64,64,0.199951171875,819,708d18cba08efcfa,13,52,58,35,True,goal_found,62.0,0.01983420003671199,463,211,state,,,,,,351,0.0007899000775068998,86,211,0,113,False
study_random_64,sfbds_f2f,110,3,random_obstacles,64,64,0.199951171875,819,708d18cba08efcfa,13,52,58,35,True,goal_found,62.0,0.04640829999698326,462,211,pair,210,1,61.0,1.0,1,350,0.0020482997060753405,85,211,0,113,False
study_random_64,sfbds_f2e,110,3,random_obstacles,64,64,0.199951171875,819,708d18cba08efcfa,13,52,58,35,True,goal_found,62.0,0.045184999995399266,462,211,pair,210,1,61.0,1.0,1,350,0.002525400777813047,85,211,0,113,False
study_random_64,astar,110,3,random_obstacles,64,64,0.2998046875,1228,69d0aef249d65785,13,52,58,35,True,goal_found,70.0,0.04303330002585426,967,509,state,,,,,,657,0.0016800996963866055,67,509,43,311,False
study_random_64,sfbds_f2f,110,3,random_obstacles,64,64,0.2998046875,1228,69d0aef249d65785,13,52,58,35,True,goal_found,70.0,0.19826480001211166,2234,1139,pair,1114,25,69.0,1.0,11,1571,0.0054715994047001,221,1139,74,664,False
study_random_64,sfbds_f2e,110,3,random_obstacles,64,64,0.2998046875,1228,69d0aef249d65785,13,52,58,35,True,goal_found,70.0,0.280715600005351,3076,1579,pair,1554,25,69.0,1.0,11,2094,0.02153309981804341,276,1579,70,983,False
study_random_64,astar,110,4,random_obstacles,64,64,0.099853515625,409,dcbb181e9c672bfc,16,24,33,52,True,goal_found,45.0,0.007764099980704486,215,80,state,,,,,,179,0.00036830001045018435,78,80,0,37,False
study_random_64,sfbds_f2f,110,4,random_obstacles,64,64,0.099853515625,409,dcbb181e9c672bfc,16,24,33,52,True,goal_found,45.0,0.026009200024418533,215,80,pair,80,0,45.0,0.0,0,179,0.0009338002419099212,78,80,0,37,False
study_random_64,sfbds_f2e,110,4,random_obstacles,64,64,0.099853515625,409,dcbb181e9c672bfc,16,24,33,52,True,goal_found,45.0,0.018864500045310706,215,80,pair,80,0,45.0,0.0,0,179,0.0013838002341799438,78,80,0,37,False
study_random_64,astar,110,4,random_obstacles,64,64,0.199951171875,819,3d28f95bcf8a6b89,16,24,33,52,True,goal_found,45.0,0.00765990000218153,129,60,state,,,,,,117,0.0002554001985117793,54,60,0,13,False
study_random_64,sfbds_f2f,110,4,random_obstacles,64,64,0.199951171875,819,3d28f95bcf8a6b89,16,24,33,52,True,goal_found,45.0,0.009041699988301843,129,60,pair,60,0,45.0,0.0,0,117,0.0003041001036763191,54,60,0,13,False
study_random_64,sfbds_f2e,110,4,random_obstacles,64,64,0.199951171875,819,3d28f95bcf8a6b89,16,24,33,52,True,goal_found,45.0,0.012911500001791865,129,60,pair,60,0,45.0,0.0,0,117,0.0008316999883390963,54,60,0,13,False
study_random_64,astar,110,4,random_obstacles,64,64,0.2998046875,1228,e94fb1e6df4d21d5,16,24,33,52,True,goal_found,59.0,0.027202700031921268,488,267,state,,,,,,354,0.001524000137578696,64,267,13,135,False
