experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_random_64_d50_opt,astar,211,0,random_obstacles,64,64,0.39990234375,1638,1ce8999d6acf4269,31,1,43,13,True,goal_found,24.0,0.0005153000238351524,74,40,state,,,,,,62,2.420006785541773e-05,20,40,0,13,False
study_random_64_d50_opt,sfbds_f2f,211,0,random_obstacles,64,64,0.39990234375,1638,1ce8999d6acf4269,31,1,43,13,True,goal_found,24.0,0.0007450000266544521,64,36,pair,35,1,23.0,1.0,1,55,1.76000758074224e-05,18,36,0,10,False
study_random_64_d50_opt,sfbds_f2e,211,0,random_obstacles,64,64,0.39990234375,1638,1ce8999d6acf4269,31,1,43,13,True,goal_found,24.0,0.0008387999841943383,72,40,pair,39,1,23.0,1.0,1,60,5.2600051276385784e-05,19,40,0,13,False
study_random_64_d50_opt,astar,211,0,random_obstacles,64,64,0.44970703125,1842,95a11f4614bfb4db,31,1,43,13,True,goal_found,24.0,0.00027190003311261535,49,26,state,,,,,,45,1.2800039257854223e-05,19,26,0,5,False
study_random_64_d50_opt,sfbds_f2f,211,0,random_obstacles,64,64,0.44970703125,1842,95a11f4614bfb4db,31,1,43,13,True,goal_found,24.0,0.0007562999962829053,55,32,pair,23,9,21.0,3.0,3,51,1.7400074284523726e-05,19,32,0,5,False
study_random_64_d50_opt,sfbds_f2e,211,0,random_obstacles,64,64,0.44970703125,1842,95a11f4614bfb4db,31,1,43,13,True,goal_found,24.0,0.0006176999886520207,55,32,pair,23,9,21.0,3.0,3,51,3.819999983534217e-05,19,32,0,5,False
study_random_64_d50_opt,astar,211,0,random_obstacles,64,64,0.499755859375,2047,8cf6d44b933a3f5c,31,1,43,13,True,goal_found,24.0,0.00033140002051368356,46,27,state,,,,,,44,1.530005829408765e-05,17,27,0,3,False
study_random_64_d50_opt,sfbds_f2f,211,0,random_obstacles,64,64,0.499755859375,2047,8cf6d44b933a3f5c,31,1,43,13,True,goal_found,24.0,0.0007246999884955585,52,33,pair,24,9,21.0,3.0,3,50,1.969997538253665e-05,17,33,0,3,False
study_random_64_d50_opt,sfbds_f2e,211,0,random_obstacles,64,64,0.499755859375,2047,8cf6d44b933a3f5c,31,1,43,13,True,goal_found,24.0,0.000624899985268712,52,33,pair,24,9,21.0,3.0,3,50,3.940000897273421e-05,17,33,0,3,False
study_random_64_d50_opt,astar,211,1,random_obstacles,64,64,0.39990234375,1638,544b50c728455c6c,14,22,21,44,True,goal_found,31.0,0.0005111999926157296,92,52,state,,,,,,75,2.0899984519928694e-05,26,52,0,18,False
