experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_random_64_dense_opt,astar,210,0,random_obstacles,64,64,0.2998046875,1228,8fdb325ba29bc5e5,54,48,53,22,True,goal_found,33.0,0.0006600000197067857,130,61,state,,,,,,98,3.0000112019479275e-05,36,61,0,33,False
study_random_64_dense_opt,sfbds_f2f,210,0,random_obstacles,64,64,0.2998046875,1228,8fdb325ba29bc5e5,54,48,53,22,True,goal_found,33.0,0.001483999949414283,143,66,pair,64,2,32.0,1.0,2,132,3.789999755099416e-05,61,66,0,12,False
study_random_64_dense_opt,sfbds_f2e,210,0,random_obstacles,64,64,0.2998046875,1228,8fdb325ba29bc5e5,54,48,53,22,True,goal_found,33.0,0.002390699984971434,249,118,pair,116,2,32.0,1.0,4,185,0.00013329979265108705,65,118,0,65,False
study_random_64_dense_opt,astar,210,0,random_obstacles,64,64,0.39990234375,1638,82ad9757d95fbf04,54,48,53,22,True,goal_found,47.0,0.002034100005403161,408,254,state,,,,,,286,6.369996117427945e-05,31,254,7,123,False
study_random_64_dense_opt,sfbds_f2f,210,0,random_obstacles,64,64,0.39990234375,1638,82ad9757d95fbf04,54,48,53,22,True,goal_found,47.0,0.0074831999954767525,709,440,pair,439,1,46.0,1.0,2,503,0.0001305001205764711,59,440,13,207,False
study_random_64_dense_opt,sfbds_f2e,210,0,random_obstacles,64,64,0.39990234375,1638,82ad9757d95fbf04,54,48,53,22,True,goal_found,47.0,0.00852209998993203,784,491,pair,490,1,46.0,1.0,2,544,0.00037089979741722345,58,491,14,241,False
study_random_64_dense_opt,astar,210,0,random_obstacles,64,64,0.44970703125,1842,6d3e708d2c67d5e4,54,48,53,22,True,goal_found,51.0,0.0016684999573044479,315,206,state,,,,,,240,5.6200078688561916e-05,23,206,7,76,False
study_random_64_dense_opt,sfbds_f2f,210,0,random_obstacles,64,64,0.44970703125,1842,6d3e708d2c67d5e4,54,48,53,22,True,goal_found,51.0,0.002614600001834333,247,153,pair,152,1,50.0,1.0,2,184,5.2299932576715946e-05,24,153,7,64,False
study_random_64_dense_opt,sfbds_f2e,210,0,random_obstacles,64,64,0.44970703125,1842,6d3e708d2c67d5e4,54,48,53,22,True,goal_found,51.0,0.003477599995676428,313,206,pair,205,1,50.0,1.0,2,238,0.00016090011922642589,22,206,7,76,False
study_random_64_dense_opt,astar,210,1,random_obstacles,64,64,0.2998046875,1228,67a848b1156a8eb0,36,10,57,23,True,goal_found,44.0,0.0010470999986864626,223,112,state,,,,,,162,3.7699996028095484e-05,38,112,6,62,False
study_random_64_dense_opt,sfbds_f2f,210,1,random_obstacles,64,64,0.2998046875,1228,67a848b1156a8eb0,36,10,57,23,True,goal_found,44.0,0.002166000020224601,223,112,pair,112,0,44.0,0.0,0,162,4.6399945858865976e-05,38,112,6,62,False
study_random_64_dense_opt,sfbds_f2e,210,1,random_obstacles,64,64,0.2998046875,1228,67a848b1156a8eb0,36,10,57,23,True,goal_found,44.0,0.002339300001040101,223,112,pair,112,0,44.0,0.0,0,162,0.00015030003851279616,38,112,6,62,False
study_random_64_dense_opt,astar,210,1,random_obstacles,64,64,0.39990234375,1638,d0862129735cbd7e,36,10,57,23,True,goal_found,46.0,0.0007095999899320304,135,76,state,,,,,,114,2.729997504502535e-05,36,76,0,22,False
study_random_64_dense_opt,sfbds_f2f,210,1,random_obstacles,64,64,0.39990234375,1638,d0862129735cbd7e,36,10,57,23,True,goal_found,46.0,0.0014800999779254198,135,76,pair,76,0,46.0,0.0,0,114,3.670004662126303e-05,36,76,0,22,False
study_random_64_dense_opt,sfbds_f2e,210,1,random_obstacles,64,64,0.39990234375,1638,d0862129735cbd7e,36,10,57,23,True,goal_found,46.0,0.0014305999502539635,135,76,pair,76,0,46.0,0.0,0,114,8.189963409677148e-05,36,76,0,22,False
study_random_64_dense_opt,astar,210,1,random_obstacles,64,64,0.44970703125,1842,d4a7e9499380df00,36,10,57,23,True,goal_found,52.0,0.0015183999785222113,300,173,state,,,,,,221,5.650013918057084e-05,27,173,22,80,False
study_random_64_dense_opt,sfbds_f2f,210,1,random_obstacles,64,64,0.44970703125,1842,d4a7e9499380df00,36,10,57,23,True,goal_found,52.0,0.0032016999903135,300,173,pair,173,0,52.0,0.0,0,221,6.450002547353506e-05,27,173,22,80,False
study_random_64_dense_opt,sfbds_f2e,210,1,random_obstacles,64,64,0.44970703125,1842,d4a7e9499380df00,36,10,57,23,True,goal_found,52.0,0.003393599996343255,300,173,pair,173,0,52.0,0.0,0,221,0.00015959999291226268,27,173,22,80,False
study_random_64_dense_opt,astar,210,2,random_obstacles,64,64,0.2998046875,1228,ecaa573e899cbd5a,10,28,6,56,True,goal_found,34.0,0.0006273000035434961,117,65,state,,,,,,100,2.8900103643536568e-05,32,65,0,18,False
