experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_maze_127_far,astar,141,0,maze,127,127,0.4920949841899684,7937,cfc0ba9008a6c0fa,100,60,22,73,True,goal_found,3185.0,0.04547110000567045,6232,6228,state,,,,,,6233,0.001415999446180649,11,6228,0,0,False
study_maze_127_far,sfbds_f2f,141,0,maze,127,127,0.4920949841899684,7937,cfc0ba9008a6c0fa,100,60,22,73,True,goal_found,3185.0,0.5018954999977723,31963,31935,pair,11051,20884,3185.0,0.0,6052,31956,0.007399399677524343,26,31935,2,8,False
study_maze_127_far,sfbds_f2e,141,0,maze,127,127,0.4920949841899684,7937,cfc0ba9008a6c0fa,100,60,22,73,True,goal_found,3185.0,0.519228999997722,32154,32126,pair,11051,21075,3185.0,0.0,5710,32145,0.022591598055441864,27,32126,0,10,False
study_maze_127_far,astar,141,1,maze,127,127,0.4920949841899684,7937,48cdf93a3c72d5a6,89,59,0,118,True,goal_found,1772.0,0.03913269999611657,5515,5512,state,,,,,,5514,0.0012068004143657163,9,5512,0,2,False
study_maze_127_far,sfbds_f2f,141,1,maze,127,127,0.4920949841899684,7937,48cdf93a3c72d5a6,89,59,0,118,True,goal_found,1772.0,0.0803340999991633,5515,5512,pair,5512,0,1772.0,0.0,0,5514,0.0012851998762926087,9,5512,0,2,False
study_maze_127_far,sfbds_f2e,141,1,maze,127,127,0.4920949841899684,7937,48cdf93a3c72d5a6,89,59,0,118,True,goal_found,1772.0,0.08364100000471808,5515,5512,pair,5512,0,1772.0,0.0,0,5514,0.003533500275807455,9,5512,0,2,False
study_maze_127_far,astar,141,2,maze,127,127,0.49197098394196787,7935,919c96e8c7f5765f,34,83,71,1,True,goal_found,963.0,0.014492800008156337,2018,2011,state,,,,,,2018,0.0004747998173115775,7,2011,1,1,False
study_maze_127_far,sfbds_f2f,141,2,maze,127,127,0.49197098394196787,7935,919c96e8c7f5765f,34,83,71,1,True,goal_found,963.0,0.031249600011506118,2018,2011,pair,2011,0,963.0,0.0,0,2018,0.00043540015758480877,7,2011,1,1,False
study_maze_127_far,sfbds_f2e,141,2,maze,127,127,0.49197098394196787,7935,919c96e8c7f5765f,34,83,71,1,True,goal_found,963.0,0.032383300000219606,2018,2011,pair,2011,0,963.0,0.0,0,2018,0.0012679997744271532,7,2011,1,1,False
study_maze_127_far,astar,141,3,maze,127,127,0.49197098394196787,7935,df055c75f681d05d,87,125,115,43,True,goal_found,774.0,0.01936520000163,2670,2666,state,,,,,,2671,0.0006620998901780695,11,2666,0,0,False
study_maze_127_far,sfbds_f2f,141,3,maze,127,127,0.49197098394196787,7935,df055c75f681d05d,87,125,115,43,True,goal_found,774.0,0.040558400010922924,2670,2666,pair,2666,0,774.0,0.0,0,2671,0.0005716997693525627,11,2666,0,0,False
study_maze_127_far,sfbds_f2e,141,3,maze,127,127,0.49197098394196787,7935,df055c75f681d05d,87,125,115,43,True,goal_found,774.0,0.042298400003346615,2670,2666,pair,2666,0,774.0,0.0,0,2671,0.0017691999091766775,11,2666,0,0,False
study_maze_127_far,astar,141,4,maze,127,127,0.4920949841899684,7937,ec9f6f5a46201187,104,69,23,20,True,goal_found,1030.0,0.0156420999992406,2162,2157,state,,,,,,2163,0.0004912997537758201,8,2157,0,0,False
study_maze_127_far,sfbds_f2f,141,4,maze,127,127,0.4920949841899684,7937,ec9f6f5a46201187,104,69,23,20,True,goal_found,1030.0,0.030939899996155873,2162,2157,pair,2157,0,1030.0,0.0,0,2163,0.0004776001296704635,8,2157,0,0,False
study_maze_127_far,sfbds_f2e,141,4,maze,127,127,0.4920949841899684,7937,ec9f6f5a46201187,104,69,23,20,True,goal_found,1030.0,0.032276700003421865,2162,2157,pair,2157,0,1030.0,0.0,0,2163,0.0013632002956001088,8,2157,0,0,False
