experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_maze_127_timed,astar,140,0,maze,127,127,0.4920329840659681,7936,73b1310faa7be825,98,111,12,3,True,goal_found,1410.0,0.020833200003835373,2879,2873,state,,,,,,2879,0.0006402000144589692,8,2873,1,1,False
study_maze_127_timed,sfbds_f2f,140,0,maze,127,127,0.4920329840659681,7936,73b1310faa7be825,98,111,12,3,True,goal_found,1410.0,0.10092589999840129,6711,6700,pair,2864,3836,1410.0,0.0,1062,6710,0.0014267001824919134,21,6700,2,2,False
study_maze_127_timed,sfbds_f2e,140,0,maze,127,127,0.4920329840659681,7936,73b1310faa7be825,98,111,12,3,True,goal_found,1410.0,0.10261289999471046,6711,6700,pair,2864,3836,1410.0,0.0,1092,6710,0.004286300114472397,21,6700,2,2,False
study_maze_127_timed,astar,140,1,maze,127,127,0.49215698431396865,7938,d2cbfeed0384ee05,34,2,68,93,True,goal_found,2695.0,0.03367220000654925,4622,4616,state,,,,,,4623,0.0010728001216193661,9,4616,0,0,False
study_maze_127_timed,sfbds_f2f,140,1,maze,127,127,0.49215698431396865,7938,d2cbfeed0384ee05,34,2,68,93,True,goal_found,2695.0,0.2535884000099031,15966,15960,pair,11109,4851,1918.0,777.0,1290,15967,0.0038494004402309656,20,15960,0,0,False
study_maze_127_timed,sfbds_f2e,140,1,maze,127,127,0.49215698431396865,7938,d2cbfeed0384ee05,34,2,68,93,True,goal_found,2695.0,0.258277500004624,16072,16067,pair,11216,4851,1918.0,777.0,1334,16073,0.011239799132454209,17,16067,0,0,False
study_maze_127_timed,astar,140,2,maze,127,127,0.49215698431396865,7938,3563dfc7dd20b324,6,86,92,28,True,goal_found,2052.0,0.029081899992888793,4058,4054,state,,,,,,4059,0.0009465999755775556,7,4054,0,0,False
study_maze_127_timed,sfbds_f2f,140,2,maze,127,127,0.49215698431396865,7938,3563dfc7dd20b324,6,86,92,28,True,goal_found,2052.0,0.05895109999983106,4058,4054,pair,4054,0,2052.0,0.0,0,4059,0.0009194996964652091,7,4054,0,0,False
study_maze_127_timed,sfbds_f2e,140,2,maze,127,127,0.49215698431396865,7938,3563dfc7dd20b324,6,86,92,28,True,goal_found,2052.0,0.059501399999135174,4058,4054,pair,4054,0,2052.0,0.0,0,4059,0.00259539921535179,7,4054,0,0,False
study_maze_127_timed,astar,140,3,maze,127,127,0.49197098394196787,7935,d771ec47e214c8f2,48,107,81,49,True,goal_found,833.0,0.01039350000792183,1484,1479,state,,,,,,1484,0.0003330997424200177,6,1479,1,1,False
study_maze_127_timed,sfbds_f2f,140,3,maze,127,127,0.49197098394196787,7935,d771ec47e214c8f2,48,107,81,49,True,goal_found,833.0,0.02232239999284502,1484,1479,pair,1479,0,833.0,0.0,0,1484,0.00032729982922319323,6,1479,1,1,False
study_maze_127_timed,sfbds_f2e,140,3,maze,127,127,0.49197098394196787,7935,d771ec47e214c8f2,48,107,81,49,True,goal_found,833.0,0.023278799999388866,1484,1479,pair,1479,0,833.0,0.0,0,1484,0.0009515000565443188,6,1479,1,1,False
study_maze_127_timed,astar,140,4,maze,127,127,0.49215698431396865,7938,d936e15f058a47a7,22,29,77,24,True,goal_found,1582.0,0.02167129999725148,2979,2976,state,,,,,,2980,0.0007040999335004017,13,2976,0,0,False
study_maze_127_timed,sfbds_f2f,140,4,maze,127,127,0.49215698431396865,7938,d936e15f058a47a7,22,29,77,24,True,goal_found,1582.0,0.0503350000071805,3400,3392,pair,2123,1269,1289.0,293.0,61,3401,0.0008276999869849533,13,3392,0,0,False
