experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_random_64,astar,110,0,random_obstacles,64,64,0.099853515625,409,a6e1f60683b6fe91,49,31,52,61,True,goal_found,33.0,0.0006763999990653247,90,33,state,,,,,,89,3.960005415137857e-05,56,33,0,2,False
study_random_64,sfbds_f2f,110,0,random_obstacles,64,64,0.099853515625,409,a6e1f60683b6fe91,49,31,52,61,True,goal_found,33.0,0.0028214999911142513,226,83,pair,0,83,0.0,33.0,0,179,6.170001870486885e-05,57,83,0,48,False
study_random_64,sfbds_f2e,110,0,random_obstacles,64,64,0.099853515625,409,a6e1f60683b6fe91,49,31,52,61,True,goal_found,33.0,0.0037712000048486516,226,83,pair,0,83,0.0,33.0,0,179,0.00022649996390100569,57,83,0,48,False
study_random_64,astar,110,0,random_obstacles,64,64,0.199951171875,819,34d34f69a0b336d7,49,31,52,61,True,goal_found,37.0,0.0009759999957168475,156,65,state,,,,,,116,4.080001963302493e-05,47,65,1,41,False
study_random_64,sfbds_f2f,110,0,random_obstacles,64,64,0.199951171875,819,34d34f69a0b336d7,49,31,52,61,True,goal_found,37.0,0.0036294000019552186,253,109,pair,0,109,0.0,37.0,0,188,7.089991413522512e-05,52,109,13,66,False
study_random_64,sfbds_f2e,110,0,random_obstacles,64,64,0.199951171875,819,34d34f69a0b336d7,49,31,52,61,True,goal_found,37.0,0.0032401999924331903,253,109,pair,0,109,0.0,37.0,0,188,0.00018800012185238302,52,109,13,66,False
study_random_64,astar,110,0,random_obstacles,64,64,0.2998046875,1228,648a5f657bb3bb83,49,31,52,61,True,goal_found,47.0,0.0016607999859843403,210,116,state,,,,,,163,5.660000897478312e-05,42,116,1,48,False
study_random_64,sfbds_f2f,110,0,random_obstacles,64,64,0.2998046875,1228,648a5f657bb3bb83,49,31,52,61,True,goal_found,47.0,0.007297000003745779,574,291,pair,0,291,0.0,47.0,0,354,0.0001175998622784391,40,291,20,221,False
study_random_64,sfbds_f2e,110,0,random_obstacles,64,64,0.2998046875,1228,648a5f657bb3bb83,49,31,52,61,True,goal_found,47.0,0.008020099994610064,574,291,pair,0,291,0.0,47.0,0,354,0.0003478998696664348,40,291,20,221,False
study_random_64,astar,110,1,random_obstacles,64,64,0.099853515625,409,366619d3b679f1c2,35,9,53,40,True,goal_found,49.0,0.0008800000068731606,136,50,state,,,,,,133,4.220003029331565e-05,83,50,0,4,False
study_random_64,sfbds_f2f,110,1,random_obstacles,64,64,0.099853515625,409,366619d3b679f1c2,35,9,53,40,True,goal_found,49.0,0.0016639000095892698,136,50,pair,50,0,49.0,0.0,0,133,4.280006396584213e-05,83,50,0,4,False
study_random_64,sfbds_f2e,110,1,random_obstacles,64,64,0.099853515625,409,366619d3b679f1c2,35,9,53,40,True,goal_found,49.0,0.00199500001326669,136,50,pair,50,0,49.0,0.0,0,133,0.00012779998360201716,83,50,0,4,False
study_random_64,astar,110,1,random_obstacles,64,64,0.199951171875,819,af80d44caf20982a,35,9,53,40,True,goal_found,49.0,0.0011400999937904999,184,76,state,,,,,,158,5.250013782642782e-05,69,76,0,27,False
study_random_64,sfbds_f2f,110,1,random_obstacles,64,64,0.199951171875,819,af80d44caf20982a,35,9,53,40,True,goal_found,49.0,0.009494300000369549,788,336,pair,329,7,43.0,6.0,3,593,0.00018369978351984173,145,336,0,196,False
study_random_64,sfbds_f2e,110,1,random_obstacles,64,64,0.199951171875,819,af80d44caf20982a,35,9,53,40,True,goal_found,49.0,0.01256190000276547,905,390,pair,383,7,43.0,6.0,3,674,0.0006704000406898558,156,390,0,232,False
study_random_64,astar,110,1,random_obstacles,64,64,0.2998046875,1228,c139fde381c2b06d,35,9,53,40,True,goal_found,51.0,0.001065600008587353,157,80,state,,,,,,136,4.339998122304678e-05,50,80,0,22,False
study_random_64,sfbds_f2f,110,1,random_obstacles,64,64,0.2998046875,1228,c139fde381c2b06d,35,9,53,40,True,goal_found,51.0,0.004888600000413135,329,184,pair,170,14,43.0,8.0,5,287,9.259994840249419e-05,92,184,0,43,False
study_random_64,sfbds_f2e,110,1,random_obstacles,64,64,0.2998046875,1228,c139fde381c2b06d,35,9,53,40,True,goal_found,51.0,0.006105099993874319,428,229,pair,215,14,43.0,8.0,5,353,0.0003296997892903164,102,229,0,76,False
study_random_64,astar,110,2,random_obstacles,64,64,0.099853515625,409,a5bdff21471c4dcf,56,54,20,38,True,goal_found,52.0,0.0019173000036971644,172,63,state,,,,,,159,8.150003850460052e-05,87,63,0,14,False
study_random_64,sfbds_f2f,110,2,random_obstacles,64,64,0.099853515625,409,a5bdff21471c4dcf,56,54,20,38,True,goal_found,52.0,0.0022773999953642488,172,63,pair,63,0,52.0,0.0,0,159,4.9899928853847086e-05,87,63,0,14,False
study_random_64,sfbds_f2e,110,2,random_obstacles,64,64,0.099853515625,409,a5bdff21471c4dcf,56,54,20,38,True,goal_found,52.0,0.0024477999977534637,172,63,pair,63,0,52.0,0.0,0,159,0.0001555999187985435,87,63,0,14,False
study_random_64,astar,110,2,random_obstacles,64,64,0.199951171875,819,0b9a4d88ab66cac4,56,54,20,38,True,goal_found,52.0,0.0010101000079885125,140,64,state,,,,,,127,3.909993392881006e-05,62,64,0,14,False
study_random_64,sfbds_f2f,110,2,random_obstacles,64,64,0.199951171875,819,0b9a4d88ab66cac4,56,54,20,38,True,goal_found,52.0,0.0018047000048682094,140,64,pair,64,0,52.0,0.0,0,127,3.999995533376932e-05,62,64,0,14,False
study_random_64,sfbds_f2e,110,2,random_obstacles,64,64,0.199951171875,819,0b9a4d88ab66cac4,56,54,20,38,True,goal_found,52.0,0.0021739000076195225,140,64,pair,64,0,52.0,0.0,0,127,0.00013689995103050023,62,64,0,14,False
