experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_random_64_d50,astar,211,0,random_obstacles,64,64,0.39990234375,1638,1ce8999d6acf4269,31,1,43,13,True,goal_found,24.0,0.00045370000589173287,74,40,state,,,,,,62,2.1499974536709487e-05,20,40,0,13,False
study_random_64_d50,sfbds_f2f,211,0,random_obstacles,64,64,0.39990234375,1638,1ce8999d6acf4269,31,1,43,13,True,goal_found,24.0,0.0007755999977234751,64,36,pair,35,1,23.0,1.0,1,55,1.680002606008202e-05,18,36,0,10,False
study_random_64_d50,sfbds_f2e,211,0,random_obstacles,64,64,0.39990234375,1638,1ce8999d6acf4269,31,1,43,13,True,goal_found,24.0,0.0007827000081306323,72,40,pair,39,1,23.0,1.0,1,60,4.6599991037510335e-05,19,40,0,13,False
study_random_64_d50,astar,211,0,random_obstacles,64,64,0.44970703125,1842,95a11f4614bfb4db,31,1,43,13,True,goal_found,24.0,0.0004165999998804182,49,26,state,,,,,,45,1.319996954407543e-05,19,26,0,5,False
study_random_64_d50,sfbds_f2f,211,0,random_obstacles,64,64,0.44970703125,1842,95a11f4614bfb4db,31,1,43,13,True,goal_found,24.0,0.0006184999947436154,55,32,pair,23,9,21.0,3.0,3,51,1.3800032320432365e-05,19,32,0,5,False
study_random_64_d50,sfbds_f2e,211,0,random_obstacles,64,64,0.44970703125,1842,95a11f4614bfb4db,31,1,43,13,True,goal_found,24.0,0.0006179999909363687,55,32,pair,23,9,21.0,3.0,3,51,3.579992335289717e-05,19,32,0,5,False
study_random_64_d50,astar,211,0,random_obstacles,64,64,0.499755859375,2047,8cf6d44b933a3f5c,31,1,43,13,True,goal_found,24.0,0.0002634999982547015,46,27,state,,,,,,44,1.2600023183040321e-05,17,27,0,3,False
study_random_64_d50,sfbds_f2f,211,0,random_obstacles,64,64,0.499755859375,2047,8cf6d44b933a3f5c,31,1,43,13,True,goal_found,24.0,0.0005885999999009073,52,33,pair,24,9,21.0,3.0,3,50,1.220004924107343e-05,17,33,0,3,False
study_random_64_d50,sfbds_f2e,211,0,random_obstacles,64,64,0.499755859375,2047,8cf6d44b933a3f5c,31,1,43,13,True,goal_found,24.0,0.0006517000001622364,52,33,pair,24,9,21.0,3.0,3,50,3.84000304620713e-05,17,33,0,3,False
study_random_64_d50,astar,211,1,random_obstacles,64,64,0.39990234375,1638,544b50c728455c6c,14,22,21,44,True,goal_found,31.0,0.0005901000113226473,92,52,state,,,,,,75,2.2899926989339292e-05,26,52,0,18,False
study_random_64_d50,sfbds_f2f,211,1,random_obstacles,64,64,0.39990234375,1638,544b50c728455c6c,14,22,21,44,True,goal_found,31.0,0.0009411999926669523,92,52,pair,52,0,31.0,0.0,0,75,1.92999723367393e-05,26,52,0,18,False
study_random_64_d50,sfbds_f2e,211,1,random_obstacles,64,64,0.39990234375,1638,544b50c728455c6c,14,22,21,44,True,goal_found,31.0,0.0011027000000467524,92,52,pair,52,0,31.0,0.0,0,75,5.949998740106821e-05,26,52,0,18,False
study_random_64_d50,astar,211,1,random_obstacles,64,64,0.44970703125,1842,fa4cb6c58cc49c98,14,22,21,44,True,goal_found,33.0,0.0005892000044696033,84,54,state,,,,,,74,2.1500018192455173e-05,19,54,1,11,False
study_random_64_d50,sfbds_f2f,211,1,random_obstacles,64,64,0.44970703125,1842,fa4cb6c58cc49c98,14,22,21,44,True,goal_found,33.0,0.0010517999908188358,84,54,pair,54,0,33.0,0.0,0,74,2.3299988242797554e-05,19,54,1,11,False
study_random_64_d50,sfbds_f2e,211,1,random_obstacles,64,64,0.44970703125,1842,fa4cb6c58cc49c98,14,22,21,44,True,goal_found,33.0,0.0010211000044364482,84,54,pair,54,0,33.0,0.0,0,74,5.6699980632402e-05,19,54,1,11,False
study_random_64_d50,astar,211,1,random_obstacles,64,64,0.499755859375,2047,82a1bc0b2c54c8bb,14,22,21,44,True,goal_found,33.0,0.0004893000004813075,82,54,state,,,,,,72,1.939997309818864e-05,18,54,1,11,False
study_random_64_d50,sfbds_f2f,211,1,random_obstacles,64,64,0.499755859375,2047,82a1bc0b2c54c8bb,14,22,21,44,True,goal_found,33.0,0.0009407000034116209,82,54,pair,54,0,33.0,0.0,0,72,2.1599989850074053e-05,18,54,1,11,False
study_random_64_d50,sfbds_f2e,211,1,random_obstacles,64,64,0.499755859375,2047,82a1bc0b2c54c8bb,14,22,21,44,True,goal_found,33.0,0.0009611999994376674,82,54,pair,54,0,33.0,0.0,0,72,5.569998756982386e-05,18,54,1,11,False
study_random_64_d50,astar,211,2,random_obstacles,64,64,0.39990234375,1638,2a48e509e019b0dc,25,11,5,2,True,goal_found,45.0,0.0017959000106202438,342,216,state,,,,,,251,5.610004882328212e-05,26,216,9,92,False
