experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_random_64_dense,astar,210,0,random_obstacles,64,64,0.2998046875,1228,8fdb325ba29bc5e5,54,48,53,22,True,goal_found,33.0,0.0006508999940706417,130,61,state,,,,,,98,2.880003012251109e-05,36,61,0,33,False
study_random_64_dense,sfbds_f2f,210,0,random_obstacles,64,64,0.2998046875,1228,8fdb325ba29bc5e5,54,48,53,22,True,goal_found,33.0,0.0013830000098096207,143,66,pair,64,2,32.0,1.0,2,132,2.9499948141165078e-05,61,66,0,12,False
study_random_64_dense,sfbds_f2e,210,0,random_obstacles,64,64,0.2998046875,1228,8fdb325ba29bc5e5,54,48,53,22,True,goal_found,33.0,0.0019735999958356842,211,96,pair,94,2,32.0,1.0,4,170,0.00011589995119720697,66,96,0,42,False
study_random_64_dense,astar,210,0,random_obstacles,64,64,0.39990234375,1638,82ad9757d95fbf04,54,48,53,22,True,goal_found,47.0,0.0021551999961957335,408,254,state,,,,,,286,6.830002530477941e-05,31,254,7,123,False
study_random_64_dense,sfbds_f2f,210,0,random_obstacles,64,64,0.39990234375,1638,82ad9757d95fbf04,54,48,53,22,True,goal_found,47.0,0.007621099997777492,709,440,pair,439,1,46.0,1.0,2,503,0.0001131001190515235,59,440,13,207,False
study_random_64_dense,sfbds_f2e,210,0,random_obstacles,64,64,0.39990234375,1638,82ad9757d95fbf04,54,48,53,22,True,goal_found,47.0,0.008210999993025325,784,491,pair,490,1,46.0,1.0,2,544,0.0003436999104451388,61,491,14,241,False
study_random_64_dense,astar,210,0,random_obstacles,64,64,0.44970703125,1842,6d3e708d2c67d5e4,54,48,53,22,True,goal_found,51.0,0.0022086999961175025,315,206,state,,,,,,240,7.000003824941814e-05,23,206,7,76,False
study_random_64_dense,sfbds_f2f,210,0,random_obstacles,64,64,0.44970703125,1842,6d3e708d2c67d5e4,54,48,53,22,True,goal_found,51.0,0.0026744999922811985,247,153,pair,152,1,50.0,1.0,2,184,4.350006929598749e-05,24,153,7,64,False
study_random_64_dense,sfbds_f2e,210,0,random_obstacles,64,64,0.44970703125,1842,6d3e708d2c67d5e4,54,48,53,22,True,goal_found,51.0,0.0033957999985432252,312,204,pair,203,1,50.0,1.0,2,236,0.00015139991592150182,23,204,6,77,False
study_random_64_dense,astar,210,1,random_obstacles,64,64,0.2998046875,1228,67a848b1156a8eb0,36,10,57,23,True,goal_found,44.0,0.0010561999952187762,223,112,state,,,,,,162,4.0000115404836833e-05,38,112,6,62,False
study_random_64_dense,sfbds_f2f,210,1,random_obstacles,64,64,0.2998046875,1228,67a848b1156a8eb0,36,10,57,23,True,goal_found,44.0,0.002099999997881241,223,112,pair,112,0,44.0,0.0,0,162,3.7500038160942495e-05,38,112,6,62,False
study_random_64_dense,sfbds_f2e,210,1,random_obstacles,64,64,0.2998046875,1228,67a848b1156a8eb0,36,10,57,23,True,goal_found,44.0,0.0024163000052794814,223,112,pair,112,0,44.0,0.0,0,162,0.00013469999248627573,38,112,6,62,False
study_random_64_dense,astar,210,1,random_obstacles,64,64,0.39990234375,1638,d0862129735cbd7e,36,10,57,23,True,goal_found,46.0,0.0006939000013517216,135,76,state,,,,,,114,2.619998122099787e-05,36,76,0,22,False
study_random_64_dense,sfbds_f2f,210,1,random_obstacles,64,64,0.39990234375,1638,d0862129735cbd7e,36,10,57,23,True,goal_found,46.0,0.0015404000005219132,135,76,pair,76,0,46.0,0.0,0,114,3.2600073609501123e-05,36,76,0,22,False
study_random_64_dense,sfbds_f2e,210,1,random_obstacles,64,64,0.39990234375,1638,d0862129735cbd7e,36,10,57,23,True,goal_found,46.0,0.001419199994415976,135,76,pair,76,0,46.0,0.0,0,114,7.680003182031214e-05,36,76,0,22,False
study_random_64_dense,astar,210,1,random_obstacles,64,64,0.44970703125,1842,d4a7e9499380df00,36,10,57,23,True,goal_found,52.0,0.0015036999975563958,300,173,state,,,,,,221,5.50000841030851e-05,27,173,22,80,False
study_random_64_dense,sfbds_f2f,210,1,random_obstacles,64,64,0.44970703125,1842,d4a7e9499380df00,36,10,57,23,True,goal_found,52.0,0.002964100000099279,300,173,pair,173,0,52.0,0.0,0,221,5.290012632030994e-05,27,173,22,80,False
study_random_64_dense,sfbds_f2e,210,1,random_obstacles,64,64,0.44970703125,1842,d4a7e9499380df00,36,10,57,23,True,goal_found,52.0,0.003052100000786595,300,173,pair,173,0,52.0,0.0,0,221,0.00014719994214829057,27,173,22,80,False
study_random_64_dense,astar,210,2,random_obstacles,64,64,0.2998046875,1228,ecaa573e899cbd5a,10,28,6,56,True,goal_found,34.0,0.0006232000014279038,117,65,state,,,,,,100,2.3599990527145565e-05,32,65,0,18,False
study_random_64_dense,sfbds_f2f,210,2,random_obstacles,64,64,0.2998046875,1228,ecaa573e899cbd5a,10,28,6,56,True,goal_found,34.0,0.0023394999880110845,168,94,pair,88,6,29.0,5.0,3,160,5.029997555539012e-05,66,94,0,9,False
study_random_64_dense,sfbds_f2e,210,2,random_obstacles,64,64,0.2998046875,1228,ecaa573e899cbd5a,10,28,6,56,True,goal_found,34.0,0.0038597999955527484,351,195,pair,189,6,29.0,5.0,3,287,0.00019800019799731672,84,195,0,65,False
study_random_64_dense,astar,210,2,random_obstacles,64,64,0.39990234375,1638,73702fb951eb506c,10,28,6,56,True,goal_found,50.0,0.0018625999946380034,368,215,state,,,,,,256,6.53999304631725e-05,35,215,3,113,False
study_random_64_dense,sfbds_f2f,210,2,random_obstacles,64,64,0.39990234375,1638,73702fb951eb506c,10,28,6,56,True,goal_found,50.0,0.009836299999733455,888,546,pair,469,77,43.0,7.0,47,657,0.0001631000341149047,91,546,11,232,False
study_random_64_dense,sfbds_f2e,210,2,random_obstacles,64,64,0.39990234375,1638,73702fb951eb506c,10,28,6,56,True,goal_found,50.0,0.016769199995906092,1534,921,pair,844,77,43.0,7.0,45,1084,0.0007312999223358929,130,921,25,451,False
study_random_64_dense,astar,210,2,random_obstacles,64,64,0.44970703125,1842,e2e76d2d371d9bbc,10,28,6,56,True,goal_found,54.0,0.001196700002765283,226,145,state,,,,,,173,4.059990169480443e-05,28,145,3,54,False
study_random_64_dense,sfbds_f2f,210,2,random_obstacles,64,64,0.44970703125,1842,e2e76d2d371d9bbc,10,28,6,56,True,goal_found,54.0,0.0034608000132720917,310,210,pair,148,62,43.0,11.0,20,253,5.979998968541622e-05,36,210,3,58,False
study_random_64_dense,sfbds_f2e,210,2,random_obstacles,64,64,0.44970703125,1842,e2e76d2d371d9bbc,10,28,6,56,True,goal_found,54.0,0.007618099989485927,601,401,pair,326,75,43.0,11.0,20,463,0.0003320997493574396,56,401,7,139,False
study_random_64_dense,astar,210,3,random_obstacles,64,64,0.2998046875,1228,bd3c51115264cb66,42,17,63,27,True,goal_found,31.0,0.0004253999941283837,77,41,state,,,,,,71,1.960007648449391e-05,30,41,0,7,False
study_random_64_dense,sfbds_f2f,210,3,random_obstacles,64,64,0.2998046875,1228,bd3c51115264cb66,42,17,63,27,True,goal_found,31.0,0.0008056999940890819,77,41,pair,41,0,31.0,0.0,0,71,1.9600105588324368e-05,30,41,0,7,False
study_random_64_dense,sfbds_f2e,210,3,random_obstacles,64,64,0.2998046875,1228,bd3c51115264cb66,42,17,63,27,True,goal_found,31.0,0.000864799992996268,77,41,pair,41,0,31.0,0.0,0,71,5.429997690953314e-05,30,41,0,7,False
study_random_64_dense,astar,210,3,random_obstacles,64,64,0.39990234375,1638,b96bb46276bcdc96,42,17,63,27,True,goal_found,43.0,0.001459100007195957,268,163,state,,,,,,200,5.400007648859173e-05,30,163,7,69,False
study_random_64_dense,sfbds_f2f,210,3,random_obstacles,64,64,0.39990234375,1638,b96bb46276bcdc96,42,17,63,27,True,goal_found,43.0,0.009192500001518056,888,540,pair,527,13,42.0,1.0,15,660,0.00014599997666664422,90,540,24,229,False
study_random_64_dense,sfbds_f2e,210,3,random_obstacles,64,64,0.39990234375,1638,b96bb46276bcdc96,42,17,63,27,True,goal_found,43.0,0.010964900007820688,1015,618,pair,605,13,42.0,1.0,15,758,0.000507199831190519,95,618,31,258,False
