experiment,algorithm,seed,query_index,generator_kind,height,width,obstacle_density,obstacle_count,map_hash,start_row,start_col,goal_row,goal_col,success,termination_reason,solution_cost,runtime_sec,generated,expanded,expanded_unit,forward_expanded,backward_expanded,meeting_g_F,meeting_g_B,direction_switches,heuristic_evals,heuristic_time_sec,peak_open,peak_closed,stale_skipped,duplicates_discarded,timed_out
study_random_d10,astar,110,0,random_obstacles,64,64,0.099853515625,409,8a5c8dc5a9266a03,49,31,52,61,True,goal_found,33.0,0.000494399995659478,90,33,state,,,,,,89,2.600003790576011e-05,56,33,0,2,False
study_random_d10,sfbds_f2f,110,0,random_obstacles,64,64,0.099853515625,409,8a5c8dc5a9266a03,49,31,52,61,True,goal_found,33.0,0.0009025999970617704,90,33,pair,33,0,33.0,0.0,0,89,2.5699977413751185e-05,56,33,0,2,False
study_random_d10,sfbds_f2e,110,0,random_obstacles,64,64,0.099853515625,409,8a5c8dc5a9266a03,49,31,52,61,True,goal_found,33.0,0.000931399998080451,90,33,pair,33,0,33.0,0.0,0,89,7.039996125968173e-05,56,33,0,2,False
study_random_d10,astar,110,1,random_obstacles,64,64,0.099853515625,409,32af9e478f742021,35,9,53,40,True,goal_found,49.0,0.0009127000012085773,134,55,state,,,,,,122,4.06000399379991e-05,65,55,0,13,False
study_random_d10,sfbds_f2f,110,1,random_obstacles,64,64,0.099853515625,409,32af9e478f742021,35,9,53,40,True,goal_found,49.0,0.0013689999977941625,134,55,pair,55,0,49.0,0.0,0,122,3.399998240638524e-05,65,55,0,13,False
study_random_d10,sfbds_f2e,110,1,random_obstacles,64,64,0.099853515625,409,32af9e478f742021,35,9,53,40,True,goal_found,49.0,0.0014329000041470863,134,55,pair,55,0,49.0,0.0,0,122,9.149999095825478e-05,65,55,0,13,False
study_random_d10,astar,110,2,random_obstacles,64,64,0.099853515625,409,a2b0b25569035efd,56,1,54,29,True,goal_found,32.0,0.0007082000010996126,136,50,state,,,,,,117,3.2800002372823656e-05,52,50,0,20,False
study_random_d10,sfbds_f2f,110,2,random_obstacles,64,64,0.099853515625,409,a2b0b25569035efd,56,1,54,29,True,goal_found,32.0,0.0013002000050619245,136,50,pair,50,0,32.0,0.0,0,117,3.300001844763756e-05,52,50,0,20,False
study_random_d10,sfbds_f2e,110,2,random_obstacles,64,64,0.099853515625,409,a2b0b25569035efd,56,1,54,29,True,goal_found,32.0,0.0013505000024451874,136,50,pair,50,0,32.0,0.0,0,117,8.940001862356439e-05,52,50,0,20,False
study_random_d10,astar,110,3,random_obstacles,64,64,0.099853515625,409,b5bff023e8a02d50,13,52,58,35,True,goal_found,62.0,0.0028562000006786548,582,215,state,,,,,,438,0.00012109991803299636,106,215,0,145,False
study_random_d10,sfbds_f2f,110,3,random_obstacles,64,64,0.099853515625,409,b5bff023e8a02d50,13,52,58,35,True,goal_found,62.0,0.005705099996703211,582,215,pair,215,0,62.0,0.0,0,438,0.00013510004646377638,106,215,0,145,False
